张凯-发言人1(00:08:00): 听得到，听得到。
贺东群(01:01:04): 不是。页面。比如说顾客买的是六八卡，地推叫啥？地推拓客卡买的是这种卡的类型就允许他不用分配，他不用挂在营业额分配里待分配这里挂着。

夜航星(01:01:27): 你你可以不分配！

贺东群(01:01:29): 现在不就一直挂在这里吗？

夜航星(01:01:32): 还会过期的？

贺东群(01:01:34): 这样子嘛，几天过期？

夜航星(01:01:36): 这个分配是我记得是有时间的？

贺东群(01:01:43): 分配过期是三天，三天会锁定，他没有分配这个卡，他三天之后他会自动跑到。你分配那边去吗？

夜航星(01:01:55): 对。

贺东群(01:01:57): 那没事儿更改了。其他我真没了，

张凯-发言人2(01:02:09): 应该想分公司出现在。

贺东群(01:02:10): 这下是真没了。

夜航星(01:02:43): 他还是会待分配，分配的人就店长他可以直接保存，保存就相当于分配了。

贺东群(01:02:53): 我不用选人直接点保存它会。就当客人吗？必须选一个人才行？

夜航星(01:03:03): 不用选人，不用选人直接保存。

贺东群(01:03:07): 等会我找一个试试。

贺东群(01:03:30): 等一下。

夜航星(01:03:30): 最近还有问题吗？

贺东群(01:03:33): 等一下，你看我截个图给你给我看一下。看工作台页面，它营业分配显示有22条，但是我点进去，它再分配的一个都没有，它为什么要显示22？

夜航星(01:03:58): 是根据啥显示来着？

贺东群(01:04:02): 发给你看一下，一个服务，一个是销售，它上面都没有，没有需要分配的，它的工作台的页面显示又有22。

张凯-发言人1(01:04:31): 什么。

夜航星(01:04:57): 我等，后面改一下，我看看可以检查一下，我一下也不知道啥原因。

贺东群(01:05:04): 好。好，那你后面空了看一下。其他问题没有了。生孩子有没有问题？

夜航星(01:05:15): 凯总还有其他问题吗？

张凯-发言人2(01:05:19): 其他问题没有，我就是等着验证数据中心是要是小群，你这边要等导出来了，正确了才能验证数据中心吗？

贺东群(01:05:33): 对，我要等导出来之后，然后提取出来的明细直接能等于我们实际的业绩之后，我才能去一一验证。

张凯-发言人2(01:05:43): 我这边的上次谢工我们打电话说的。大概的流程，我发给你吧。

夜航星(01:05:56): 好。

张凯-发言人2(01:06:01): 诶，我看一下保存到哪里去了？但是我问题我没写哈，我只是写写一个规划，问题我现在我不清楚还有哪些问题规划我先发出来，你看这是目前的。我们上次通完电话之后，我还补充了一些框架。

张凯-发言人2(01:07:06): 其他就没有了。

张凯-发言人2(01:07:46): 有些字被隐藏了。

夜航星(01:07:58): 这些需求，到时候排个期慢慢做。

张凯-发言人2(01:08:08): 但是前面几个是比较紧，比较紧急的问题。

夜航星(01:08:15): 那可以排前面一点？

张凯-发言人2(01:08:18): 对我这个就是按顺序排的，具体时间我没写，

夜航星(01:08:23): 这是。一年的吗。多久。

张凯-发言人2(01:08:29): 因为一年差不多，因为后面这个后面那几个相当于是新开发像。

张凯-发言人2(01:08:41): 日报目前刘工已经做好原型图了嘛，我们可能还要调整一下，所以还没开始动工，但是估计也就这两个月吧，要么月要么10月份日报可能会开始搞，然后 ai ai 今年来不来得及搞还不确定。来11年还不至于没到一年。按一年算，估计还有更多。

夜航星(01:09:19): 那好，这排个时间慢慢推进！

张凯-发言人2(01:09:25): 其他我就没有了，我就是着急数据中心的！

夜航星(01:09:33): 数据中心。没事。我先把今天说的改了，然后。对。库存管理就一直拖着，想一下得。

张凯-发言人3(01:10:09): 他说。

夜航星(01:10:11): 得给你们看一把。

张凯-发言人2(01:10:14): 要弄了库存管理，影响到他们的店长的提成。那上个月很多提成都发不了，因为他没出库。

夜航星(01:10:28): 下下周下周肯定整一版。

张凯-发言人2(01:10:31): 好好其他问题我再没有了。

夜航星(01:10:37): 好好那先这样吧！

张凯-发言人2(01:10:38): 好。

夜航星(01:10:40): 好好拜拜。
