夜航星(00:04:59): 东哥你要不要叫一下张凯？
夜航星(00:56:59): 那这种情况下，就这种设计那个就好像能兼容去区分，就这个时候是不是套餐里面，它可能需要新的一种商品规格就。

张凯(00:57:18): 但是。那你不选尺码，你你能跟库存绑定起来吗？

夜航星(00:57:18): 暂时不选尺码这种规格。这绑定不了？

张凯(00:57:30): 对买买了买了家居产品的时候不是要出库吗？出库的时候领取的时候不是要 T 恤是哪个尺码吗？

张凯(00:57:43): 尺码对尺码是个问题，我因为我们之前还没卖过内衣卧槽。我所有的促销方案里面没有内衣。

夜航星(00:58:18): 套餐那边可以没事。逻辑不对。

张凯(00:58:33): 没有我这个套餐没有卖过内衣，这假如卖内衣的话。那石板还真是个问题。

张凯(00:59:15): 知道了我有我们有卖内衣的话，我们现在是没有卖过内衣，如果我遇到这种情况，我会在一个。

张凯(00:59:27): 我会在促销方案里面把内衣的所有规格全部存进来那一款的，然后他选一个我这一样这一列一样。

张凯(00:59:42): 那你就有三种不同的项目，比如说任敏就维乐香巢，基本不知道顾客选哪一个，我就把这三个全录出来，然后数量空在那他们自己去填。

夜航星(00:59:54): 那就相当每个就每个都需要自定义逻辑就做不了的。

张凯(01:00:02): 自定义逻辑是啥意思？

夜航星(01:00:04): 自定义逻辑就是控制这几个要几选几，然后另一个套餐又控制另外几个几选几。就相当于每个套餐有单独的逻辑。

张凯(01:00:25): 对。这不是又回到前面讨论的多选多的情况吗？

夜航星(01:00:40): 对。

夜航星(01:00:53): 我想一下！

张凯(01:00:53): 邵总还记得之前我给你看过。多选多的一个方式。

邵冬(01:01:10): 多选多的方式我们知道。谢鸿。我知道，多选多的一个。

张凯(01:01:15): 你怎么会不知道我们讨论了。你说。

邵冬(01:01:25): 行。现在就。

张凯(01:01:27): 之前讨论了汉堡的案例了。

夜航星(01:01:39): 这么做的话，套餐可能单独做一个比较合适，我靠，你们多选多的没跟我讲过，这导致我的设计不是很符合你们需求。

邵冬(01:01:53): 很多是上次。我记得上次提也是提到了，就是没有。

张凯(01:02:00): 我记得讲了汉堡了，和案例了，汉堡饮料小吃。

夜航星(01:02:09): 你你这只跟我讲有套餐没说套餐里面要可选。

邵冬(01:02:09): 对讲过了，讲讲过。点没抓住，我没关注。多选多要一下子一下子那个案例我找不出来。

夜航星(01:02:28): 这个案例不用找我理解逻辑。

张凯(01:02:32): 有你你们要看一下后台不？

夜航星(01:02:38): 不，这倒不用理解逻辑可以改，但是得多一次迭代。

邵冬(01:02:39): 小地铺的吗？慢一点意思。

夜航星(01:02:47): 就延期两周？

张凯(01:02:49): 你反正6月1号之前能不能搞定，我们按总时间。

夜航星(01:02:55): 几月6月1号，你搞定是啥意思，就测试完上线还是啥意思？

张凯(01:02:56): 对。

夜航星(01:03:03): 6月1号现在就还剩两个月。

张凯(01:03:07): 你像库存的实在赶不及，你可以往后排我。

夜航星(01:03:14): 6月1号按照目前安排是没问题的，目前安排我是再走两个迭代就可以交付了，那就现在多一个迭代，三个迭代就是一个半月。一个半月剩下半个月给你们测试和录数据。

邵冬(01:03:35): 我其实谢工因为我现在很少跟谢工交流这个小程序的内容，但是我是蛮信任谢工，因为谢工以前搞竞赛的，我觉得我脑子是不如谢工的，所以就是我很信任谢工这方面的能力的，然后我怕的一点是什么？就是。张总可能觉得跟我们讲过了，然后我们做的时候没做，然后发现的时候晚了会影响整个开发进度的。这样一个事情。

夜航星(01:04:08): 对之前确实我这边没有了解到，那我可以改，但是得延一个迭代。

邵冬(01:04:16): 点是这样的，你不可能说我张总你也理解你不可能说我们开个会，但是100%东西全部输入100%他完全是大家都要理解的嘛，你不能说我会上讲过了，你就是要给我弄出来，我这个东西人人不可能是跟机器一样的我？

张凯(01:04:26): 对嘛。你可能下次迭代了，可能试用一下，还可能还没衔接上的可能还要讨论，我知道。

邵冬(01:04:42): 对所以说你说按照常规我，我同意谢工的说法，但是余量相当于没有什么余量的。你你其实这个东西现在我开发下来，你们这个小程序真的难度是我不是谢和谢工在一块做你们这个东西找别人做非常难做的，实话实说。

张凯(01:05:06): 是满自定义肯定是。

邵冬(01:05:08): 是不是一般的自定义，就是他没有一个通用的逻辑来做，真的还是难度蛮大的。

张凯(01:05:20): 逻辑有，怎么会没有逻辑？

邵冬(01:05:22): 逻辑有问题？

夜航星(01:05:23): 有就逻辑很多，就是就比比如这个套餐里面要多选多的，我之前就没有听过，所以这个得重新再改。

邵冬(01:05:39): 这做你们和做医院两个不一样，做医院的，他们就是要接的东西，理解他们那些逻辑，反而比你们简单，反正就是。他们就是处理关系比较复杂，不管怎么样，我靠你这个消息看得过来吗？我说你微信消息看得过来吗？这么多消息。

张凯(01:06:03): 我们都上百个。

邵冬(01:06:08): 在这。

夜航星(01:06:10): 张总，我插一句，就是6月1号能不能来得及，我觉得就是你你你打算要给你们那边就是留多少时间去做那个数据的治理，还有测试。

张凯(01:06:27): 你你说的数据治理是啥意思？

夜航星(01:06:31): 所以自己就是现在这些东西从 workfine 那边拉过来，那拉过来，我可能可不可能111步到位拉好，然后需要你们这边员工去调整。

邵冬(01:06:33): 我来解释吧！

张凯(01:06:48): 我来答复一下，就是我们可以全部重新录入，不用你，但是如果就算批量导我们也会把那个梳理好，然后咱们对接，怎么导进去嘛，就不用暂时不用说你直接从那边数据库全部一下拉过来。

张凯(01:07:12): 因为因为你拉过来我你看，比如说这个商品管理拉过来，其实好多都是不需要的，或者说不对的，因为我们现在是测试，所以不影响嘛。

张凯(01:07:22): 到时候我们商品我可以一个去添加，也没问题。

夜航星(01:07:26): 可以就反正这个事情交给你们，不管是怎么弄，就你，你得你这边得预估那个时间，然后才能倒推我开发剩多少时间？

张凯(01:07:36): 对。对，然后这个商品因为现在这些我们要测试，所以这些东西就留在这，到时候我们正式上线的时候，我会把这些全部清空掉，然后全部以我们的梳理完之后才会批量导进来。

夜航星(01:07:44): 对。是的。

张凯(01:07:55): 然后员工管理的话，我们也会梳理一下，因为因为你现在是直接从数据库拉来的哈对，然后里面有很多离职的不在的岗位不对的，我们也会全部删掉，让别人自己去注册。

夜航星(01:08:04): 对。让别人自己去注册。

张凯(01:08:16): 让员工自己，我要让。

夜航星(01:08:16): 他自己注册，他也改不了这些！

张凯(01:08:20): 我要让人事部去走一遍流程，我不能。

夜航星(01:08:23): 这边你安排就可以，我反正这边配合，可以对。

张凯(01:08:26): 对。对因为因为我们不用直接拉过来，但是编号可以一样，我要让我们需要让所有人员走一注，走一遍注册的流程，然后让人事部知道这个东西怎么搞。

张凯(01:08:42): 我对我不能告诉他，我给你搞好了，你后面去管理就好了，我要让他们自己跟进员工录进来，然后顾客的话也不用批量导进来，我们也是会要求店里面一个录。

夜航星(01:08:48): 对。这边你安排就行。

张凯(01:09:02): 对所以是这么个流程，你这边就可能到时候我们迁移数据的时候，我们会对接的比较频繁，但是不用直接你去帮我把数据库拉过来，因为。

夜航星(01:09:15): 没问题。

张凯(01:09:17): 因为因为我怕拉过来，家里好多，我看不太懂的，你拉过来。

邵冬(01:09:26): 有一个点就是有时候比如说你们库存那部分东西要考虑后期的库存的问题，就是因为有部分库存就是区域的库存，它是在 work fan 上面做的嘛。

邵冬(01:09:40): 然后这边两边数据其实要做对接的就是你商品名称和 work fan 上面存的那个数据其实两边是有关联的，你完全没关联。那两边到时候库存是对不起来的。

张凯(01:09:55): 对嘛，我会根据 work fan 的编号把这边录进去嘛，到时候我们会对接。

邵冬(01:10:00): OK OK 那你根据 work 的变，要不要给你做下拉你录你万一这样的手工去录，我怕空格什么点，对不上。

张凯(01:10:09): 不。我可以把梳理好的表单发给你们，帮我批量导进去吧？

张凯(01:10:21): 因为。

邵冬(01:10:21): 导进去他不一定能两边都对得上！

夜航星(01:10:24): 导进去你们还得检查的？

张凯(01:10:26): 我以。

邵冬(01:10:27): 对两边你对可能会对不上。不能保证100%。

张凯(01:10:30): 我会把我从 workfine 导出来，然后在这边导进去对不上吗？

邵冬(01:10:37): 可以不要手填。

张凯(01:10:39): 对。

夜航星(01:10:41): 就相当于你们从 workfine 里面导出来，你们编辑一遍，再让我导进来！

邵冬(01:10:47): 对。

张凯(01:10:48): 对因为因为我举个案例，比如说商品管理这里，它这个品项分类分的很奇怪，我看不太懂，因为我们这个耗材美容耗材，其实它不叫品相分类嘛。

邵冬(01:10:51): 真可以。

夜航星(01:11:02): 反正这个是因为你们那个院装产品那边也没对应字段，我只能拉一个比较相似的，反正你们后面可以自己填这个无所谓了。

张凯(01:11:17): 你你你可能搞混了，就是我报就是用于采购的，比如说那个用于采购的产品。这边是用于采购的产品，我供采购的产品里面是没有做品相分类的，然后拿来卖的这些产品才是商品才是拿来分类的。

夜航星(01:11:36): 我知道你我。我知道你这边来卖的好像只有服务类的！

张凯(01:11:52): 对服务类的是服务类的，但是也有家居产品，你看这个可售项目里面有一个，你看按我这里有产品库了，这里有单品能看到吗？

夜航星(01:11:54): 有吗，怎么感觉我没看过？

张凯(01:12:06): 单品美心的新生态盐的安吉利的单品，然后这些单品就是从产品库提取过来的。

夜航星(01:12:10): OK 那我就。那我相当于拉多了，可以，那我理解了，那我理解，那反正到时候你们这边那个填报就好了。

张凯(01:12:17): 对，然后我给他赋予了一个品相？是的。

夜航星(01:12:28): 这没问题，但是你们填报之前你们就还得安排一些人不同角色测一测的，对这个时间也得算，你反正就相当于录数据和测试两块时间，你这边要多久？

张凯(01:12:37): 是要测的。那我要反问一下就是我测试完提交给你，你需要多久改？

夜航星(01:12:47): 因为测试完可能还得再改改一下。那看你提的测试的量，这动态的。

张凯(01:12:59): 我们测试，我这边人比较多，我全部流程测试完一周差不多可以搞定，主要还是看问题反馈给你之后你要改多久？所以你要给你自己预留时间。

夜航星(01:13:14): 我这边要改多久，就是一个是看你，你现在这边给我的反馈跟到时候他们反馈匹不匹配？你这边反馈我可以给他们测试都可以改的改完，然后他们那边如果跟你出入很大，那就很麻烦了。

张凯(01:13:36): 他们那边是谁，这是我安排别人测试的吗？

夜航星(01:13:38): 就你安排的人，那到时候就到时候他们反厕所反反馈不能跟你出出入很大的？

邵冬(01:13:39): 比如说。

张凯(01:13:49): 他们也是按照我的逻辑来的！

夜航星(01:13:51): OK 那你你那你可不可以预估一下他们到底就会有什么样的反馈就是哪种类型的？

张凯(01:13:54): 因为。你看不同部门的嘛，不同部门的你像商学院，他的可能就是要把我们前面讨论的那个顾客端那个装修排版那些那个可能要切割开给他们权限。

夜航星(01:14:24): 装修排版。

张凯(01:14:27): 就是首页的分类，那个板块要完全和我们的商品管理切割开。

夜航星(01:14:30): 我理解。那现在我是这么打算，一个就装修板块，另一个就是商品的编辑分两个。

张凯(01:14:49): 财务部门可能关注的就是订单内订单导出来方不方便，该有的标签都有没有？

夜航星(01:14:50): OK。

夜航星(01:14:59): 订单导出来方方 OK 那这些理论上是你这个阶段就要给我反馈的。

张凯(01:15:09): 对我们不是刚讨论到商品吗？我还商品讨论完其他板块我们还要讨论一下。

夜航星(01:15:11): 笨笨是 OK 就是就假设哈，你这边，这你现在给我反馈时间我都改完了，然后就到时候那个小规模内内测的时候就是你你预估他们可能会有什么什么。反馈，不然我这边很难说我要多久改的。

张凯(01:15:40): 预估他们会有什么反馈哈？

夜航星(01:15:44): 对。我这边只能说他们那边如果权限调整权限一些反馈我这边改到那个阶段改比较合适。因为小规模测试主要还是测试一个流程权限的问题？

张凯(01:16:15): 没有我在开会，我跟你说一个视频，你看一下什么预约，他说看你时间稍等一下，谢谢总！

夜航星(01:16:25): 诶好。

张凯(01:16:25): 他因为他把电脑带过来给我们看，对他是他们应该都是系统上他不让人去，他店里没有那个 AUR。可以约他来！之前都没上，这些都可以上，这几天都可以，明天不行，是不是越狱5000？

张凯(01:16:57): 他预期转让费多少钱，去找那个七八都可以这么高原先要10万，如果他后面的话那个人再少一点，想让我当时跟他说转这个店的话，我们不要用钱，我说但你要有的店里面你有10%的股权，因为负责比较多，当时的话就没想转，他就是一个诉求，就是我们不要承担，不过退款问题就他不要承担，不过退款的问题那就没办法了，他肯定要承担退款的。七八十万谁给他承担的，假如说你店里不会主动找退款的，我们可以直接跟这个沟通，在沟通，到时候我们先写一样，看看什么意思。

张凯(01:17:35): 给咱们建立共享的 Big. Yeah. 今年不多了，再聊一聊。好了，然后咱们商品板块沟通的差不多了。

夜航星(01:17:53): 那这样我给你一个准数，就是到时候小规模测试流程权限的一些变动，我一周时间可以改完。

张凯(01:18:09): 流程你一周就能改完一周，我们测试一周，那就是14天。

夜航星(01:18:11): 你时间不是紧吗？

张凯(01:18:21): 那预留20天总共加起来。

夜航星(01:18:24): 可以，那到时候你你们反馈得按照我的要求反馈行不行？

张凯(01:18:31): 你你举个例子。

夜航星(01:18:33): 比比比如那个啥，我给你们一个描述的格式，然后这个可以我群群里有发那个链接。

张凯(01:18:46): 那个链接我点进去看了，我看不太懂。你可以跟我讲一下。

夜航星(01:18:49): 看不太懂！我现在点开那个链接？

张凯(01:18:54): 可能太专业了！

张凯(01:18:59): 您说的是 bug bug 反馈路径？

夜航星(01:19:01): 对对我这边不是给了个 bug 样例嘛？

夜航星(01:19:09): 一周可能不够，我因为我们是要不同手机型号，还要测试浏览器版本，还得测试。一周时间不够了，我感觉不够就改大，就是手机型号和浏览器适配，这都得至少一周了。

张凯(01:19:25): 不够。

张凯(01:19:39): 那我们浓缩一下，我们测试剪点时间出来测试5天。

夜航星(01:19:49): 5天和一周有啥区别吗？

张凯(01:19:52): 还是有两天！

夜航星(01:20:04): 5天可以55天一周无所谓了，两天时间。你们是一定得6月1号那个上那个6月1号，给一些一天指定市场用还是全部推广？

张凯(01:20:27): 是订单，对，就是我不会说一下子所有凤御门店全部用，我可能会挑几家店先开始用嘛，然后因为我也要收集他们门店的情况吧？

夜航星(01:20:28): 指定的 Ok. 可以，那就相当于允许一些那个一些瑕疵再反馈？

张凯(01:20:45): 指定的。允许一些瑕疵。

夜航星(01:20:50): 那就稍微又宽松一点点。

张凯(01:20:54): 因为我们这个数据量那么大，你大批量的一下子去弄，万一错了，那订单修改起来很麻烦的。

夜航星(01:21:02): 对你们人那个角色也挺多，表也挺多，就很难没有瑕疵了。

张凯(01:21:06): 20多个人。No. 不去你们产品对你这样再去返回去修改数据库就好麻烦了。

夜航星(01:21:18): 对20天20。

张凯(01:21:18): 以前那里面的不能拉伸**我嘞！

夜航星(01:21:26): 20天。那我这边得两周时间？

张凯(01:21:28): 真是我都说农村对15天，那你给我5天还也差不多也是20天工作不少，那不是哪个？

夜航星(01:21:33): 对两周时间。你就小规模测试我这边修改。

张凯(01:21:43): 通常还真的挺麻烦，他们进来有台子，他怎么这样子数据情报？

夜航星(01:21:45): 然后你你们数据填报要多久？

张凯(01:21:54): 你是填啥数据，我。

夜航星(01:21:57): 就我们测试完了你们才能填报小规模测试完了才能填报，那可能有些改动！

张凯(01:22:04): 太自信了。说钱录入商品这些吗？

夜航星(01:22:06): 我对。

张凯(01:22:11): 录入产品，我们把字段对接，能批量上传普遍。

夜航星(01:22:16): 可以批量上传，但批量上传完你们要检查。

张凯(01:22:22): 对要检查的。

夜航星(01:22:23): 对。然后看检查完就是还得测一波那个数有数据的状态。

张凯(01:22:35): 我们测试之前就会提供给你，不然我们测试啥？

夜航星(01:22:39): 也可以，你们可以测试完测试之前，把数据填好，然后再测，然后那测试完有些反馈它可能会有改动之后。

张凯(01:22:49): 对。

夜航星(01:22:55): 你们还得再过一遍数据。就可能有些字段要重新。

张凯(01:23:02): 你看打比方，我们从5月10号开始测试，我测试之前肯定就要把那个数据给到你，然后你帮我导进去嘛，导进去我们测试的时候就正好就检查嘛。

夜航星(01:23:14): 可以。这样就是20天相当于第一轮测试，就我们测试和数据录入放在一起了？20天第一轮测试，然后测试完还得再来一轮小的。

张凯(01:23:47): 然后我就给到店里开始用了嘛？

夜航星(01:23:48): 小的。对我们相当于有两轮测试一轮211轮，就刚才说20天测一下，然后再来一轮10天。一个月测试时间？

张凯(01:24:07): 给店里使用。

夜航星(01:24:11): 相当于你们小规模测试完了，然后我这边改完了，那不得还得再你们再次反馈一下。

张凯(01:24:11): 反馈。

张凯(01:24:23): 我有一个问题就是咱们比如说我商品管理，因为关联到门店，它通过小程序去开单？所以我把商品管理放到第一个板块讲，然后员工管理它涉及到每个人使用，这个也是比较重要的，你像比如说后台的这个开单，比如说网页版的开单。其实可以，因为因为门店他肯定是优先用自己小程序开单的，所以后台的开单。

张凯(01:25:06): 是跟小程序开单，它是要同时进行吗，系。

夜航星(01:25:11): 我是考虑这种情况，那万一你们店长不在店？

张凯(01:25:18): 店长不在店，前台开单！

夜航星(01:25:23): 那前台开单不得有个东西给他操作。

张凯(01:25:27): 他用小程序不行吗？

夜航星(01:25:29): 小程序前台有权限没有？

张凯(01:25:34): 权限不是他以板块为为为准，一个板块去开打开吗？

夜航星(01:25:40): 可以给同时给多个人给这个权限可以，那我反正这个开单你你们要不用的话我就给它删掉。

张凯(01:25:48): 你说网页版的吗？

夜航星(01:25:58): 对。

张凯(01:26:00): 网页版的。我看了一下！员工管理。员工管理权限管理后台。然后好像这个职位好像目前还不能选。

夜航星(01:26:22): 职位本来不能选就填的，你可以点右边编辑。

张凯(01:26:26): 编辑。他不。

夜航星(01:26:28): 是甜的，这你们那么多咋选，只能甜吗？

张凯(01:26:33): 那这个要提供一个选项？那大家填的乱七八糟的，我跟你说。

夜航星(01:26:40): 我你们现在已经乱七八糟，我怎么弄给你们弄选项？

张凯(01:26:45): 不会我们专门有一个职位表！

夜航星(01:26:48): 有职位表吗？

张凯(01:26:50): 有在这里在你看我新建一个人事档案嘛，那个新建人事档案。

夜航星(01:26:59): 那我有看到。

张凯(01:27:02): 人事档案，然后这里不是有职位嘛，它是有筛选列表的。选一个市场？

夜航星(01:27:15): 你你们这职位还跟市场绑定？

张凯(01:27:22): 我这里有一个框框的，可以选择职位的。

夜航星(01:27:27): 那就相当于跟。

张凯(01:27:28): 不然他们填的。

夜航星(01:27:33): 这是跟哪个绑定的，只问一次。

张凯(01:27:35): 跟职位表绑定，我专门设定了一个职位表。

夜航星(01:27:39): 那是不同市场有不同的职位表还是怎么说？

张凯(01:27:42): 永远。那这里我们是？我这个职位表是这样子的，我这里是我们自己弄的，这里也就他们只能在这些限定的里面去选。为什么会要先选市场，就是因为有些总部的职位，他是市场门店是用不上的，所以不让他们选！

夜航星(01:28:13): 那我把这个加进去可以选？

张凯(01:28:20): 对所以职位这里。

夜航星(01:28:30): 这可以选。

张凯(01:28:32): 对职职位这里是选，如果他们自己填，那他会填的乱七八糟的。

夜航星(01:28:36): 可以把它加进去。

张凯(01:28:42): 然后我这里我有一个没理解的组织和门店组织是指它某一个。

夜航星(01:28:47): 对。

张凯(01:28:56): 他哪他某一个单位的某部门？

夜航星(01:28:59): 组织人员属于哪个组织结构是属于哪里？它也可以属于总部，也可以属于市场，也可以属于门店的某个部门？

张凯(01:29:12): 商品管门店管理这里的门店管理是也是你直接提取来的吗？

夜航星(01:29:26): 对。对提取过来的。

张凯(01:29:35): 门店管理直接提取来的。这些好像都不能删哈。

夜航星(01:29:37): 对。可以上了，那可能忘记做了我靠。

张凯(01:29:43): 没有删除的了。没有所有东西都没有删除按钮。商品也没有删除的了。

夜航星(01:29:52): 不对有关店的功能？

张凯(01:29:58): 门店编辑。

夜航星(01:29:58): 编辑一下，看有关店的功能吗？往上拉一点看！

张凯(01:30:03): 没有。

夜航星(01:30:09): 这个有对。

张凯(01:30:10): 这里右上角有个关闭门店吗？关闭是不再对顾客展示？

夜航星(01:30:21): 我删除都做软删除这个硬删除没有做。

张凯(01:30:27): 商品管理里面可以搞个硬删除。

夜航星(01:30:30): 商品管理搞硬删除可以硬删除是删掉了这条数据没了。

张凯(01:30:39): 因为因为商品管理基本上就只有我一个人在管理，没有其他人没有权限的。

夜航星(01:30:40): OK 可以。

张凯(01:30:51): 我会根据他有没有开过单，他开过单，我就不会删除。

张凯(01:30:59): 员工对员工管理这里是？

夜航星(01:31:01): 你你你多多提点，争取这轮多改一点。

张凯(01:31:06): 员工管理是他们是导入进来还是说他们注册进来？

夜航星(01:31:15): 导入这没不能注册。没有那个注册的功能？

张凯(01:31:18): 员工。员工不用户吗？员工端的小程序。

夜航星(01:31:32): 是这样的员工是用用户，但是你你不能让他们注册。

张凯(01:31:39): 我只能我们添加了，然后他才能登录？

夜航星(01:31:42): 不然就相当于对是这样的，不然你相当于对全部所有人开放了。

张凯(01:31:50): 那我明白了，就是我们有员工了，我们先给他添加进去嘛，然后他才能进。

夜航星(01:31:57): 对他是用手机号去登录的。

张凯(01:32:00): 这个没问题。因为刚好有一个员工编号要和我们原来保持一致。

夜航星(01:32:08): 技能标签是我设就做了一下设计，不知道你有没有理解。

张凯(01:32:17): 这个板块在哪里选技能对它是可以展示在小程序端的了？

夜航星(01:32:19): 对。这个我目前的用途就是不是有提成分配，我是按照这个来的。

张凯(01:32:35): 技能标签按这个分技能标签，我这里选了美容师，然后他就是去学。从提成匹配里面去，按照美容师的标签来做提成？

夜航星(01:32:54): 因为你们别的吃饭都不合适。

张凯(01:32:58): 美容师养生师推广师，还有还有其他标签？

夜航星(01:33:04): 你可以给我给你加上去。

张凯(01:33:08): 逻辑没问题。

夜航星(01:33:11): 因为我看了一下你们别的字段都不是很匹配，所以只能新建一个。

张凯(01:33:18): 然后员工管理是我们添加添加到。

夜航星(01:33:36): 你那天说下拉很混乱是啥意思？

张凯(01:33:40): 下拉啥东西？

夜航星(01:33:42): 你说下拉列表是乱的？

张凯(01:33:46): 它的列表是我写我们写，那是前面讲的那个商商品，这里就是一个是我看这个品相分类好像都不对什么耗材什么的也都分品相了。

夜航星(01:33:50): OK 那商品这块我也重新再改一下。

张凯(01:34:04): 对然后一个下拉这个品相分类。这里品相分类也不对。

夜航星(01:34:11): 到时候反正到时候品相分类和展示的商品就让就。让你们可以自定义。

张凯(01:34:24): 我们品相分类在这里也有的，我这里专门做了配置表。品相你看品相类型，这里品相类型。这些都没有再用了，上面都是我们是分这些品相。我们有评价分类的配置表。

夜航星(01:34:49): OK 反正这个到时候你们自己填报？

张凯(01:34:53): 对。然后再就是一个分类，就刚刚有讨论到，就这个销售分类，它如果是套餐的话，它应该属于跟随子项的。

夜航星(01:35:00): 对。对我到时候就给它做到指向，就到时候一个商品会有两个标签，一个是商品管理，另一个叫什么。

张凯(01:35:18): 组合套餐管理啥？

夜航星(01:35:20): 不是相当于你们，你刚才讲装修就。

张凯(01:35:25): 那个叫配置表是不是基础信息配置什么的。

夜航星(01:35:32): 这取啥名字就三层管理吗？那就叫商城管理。

张凯(01:35:35): 你说的是你？

张凯(01:35:41): 对。

夜航星(01:35:42): 三层管理就差不多对应现在的这个三，商品管理，然后到时候会再做一个商品管理就是管理那些就是规格现在说的规格。

张凯(01:36:00): 商城管理就是管理那个小程序端展示的那些东西，但是它里面的规格它排版可以自己排，但是它如果要提取项目的话，它只能根据商品里面的项目来提取。

夜航星(01:36:05): 展示的对。像你。就到时候这个权限就可以分开了，三层，归三层，然后那个品品相就归那个品相。

张凯(01:36:21): 因为因为所谓后面所有的数据的分析汇总，就是你说的演绎数据其实都是根据商品管理的信息来的。

张凯(01:36:42): 这个组织架构。这是你自己新建出来的吗？

夜航星(01:36:50): 我倒过来的。

张凯(01:36:53): 倒过来的。

夜航星(01:36:57): 你们的思维库就这样子了。

邵冬(01:36:57): The. 和之前讨论过的方式一样，就是主架构按照你们 work 上面的来做的。

张凯(01:37:00): 这里。好。我没啥。好像我没啥需求。

夜航星(01:37:15): 就你你你同时还得考虑一下就是可能的用户的需求。

张凯(01:37:23): 商品向公司。

夜航星(01:37:29): 它可以改序号的改序号给它调整顺序。

张凯(01:37:29): 然后。反正别人看不到，其实就只有我一个人看得到。

夜航星(01:37:39): 我不知道，反正权限你们自己设定！

张凯(01:37:42): 然后我们说的开单能增加一个选项吗？搜名字。

夜航星(01:37:54): 名字可以。

张凯(01:37:56): 能模糊搜索吗？你看有时候我说四个号就不一定有时候不一定记得住顾客的。

夜航星(01:38:00): 红红松鼠可以。

张凯(01:38:08): 然后还有一个问题就是我已经按道理我拿我的手机号和贺东群的手机号都搜索它都提示未找到已注册客户。

夜航星(01:38:20): 就之前说的表不一样。

张凯(01:38:25): 怪不得。

夜航星(01:38:28): 你搜一下是可以搜得到的。幺五九五八零二四九四四。

张凯(01:38:40): 是可以搜得到对这里面订单有一个问题，如果选择促销方案他这里。每一个子项选择加入？

夜航星(01:38:55): 就是这块那个这块还没优化好，那到时候逻辑会跟员工端小程序一样的。

张凯(01:39:01): 他是整个的加入吧！

夜航星(01:39:09): 是的。

张凯(01:39:11): 对这是个问题。然后。

夜航星(01:39:13): 对。

张凯(01:39:18): 对于这些选一个安置于。加入。他订单这一个界面好像标签少了一点点。

夜航星(01:39:38): 撒不要钱要？

张凯(01:39:40): 这是订单类型好像不太对应的是我们原来的哪一个来着？

夜航星(01:39:49): 这订单类型就目前那回款单转换单还没做上去，就相当于。

张凯(01:40:01): 看我们，我打开一个单子，你看一下标签就大概知道了。然后说单。标签有顾客来源是注册的时候甜的，然后还有一个业绩的类型，它是售前售后？

夜航星(01:40:32): 对业绩类型。

张凯(01:40:33): 对。游戏类型有售前售后。他这个订单编号是隐藏的，他是每个订单都有独立的编号？

夜航星(01:40:50): 有可能没展示出来。是创建完才有编号？

张凯(01:40:51): 然后这个门店是开单的人，他属于哪一个门店，他就只能自动跳出来哪个门店，他不或者说他只能选那一个门店，他不能全都选。

夜航星(01:40:59): 所以现在是没有对。

夜航星(01:41:14): 就给他锁死目，目前他默认的是对的吧？

张凯(01:41:21): 目前它默认的。因为我也不知道测试员是哪家店。

夜航星(01:41:27): 可以就跟员工开单的员工锁死可以的。

张凯(01:41:32): 对跟他所处的部门说事。

夜航星(01:41:35): 所处的部门说是？

张凯(01:41:37): 这是他所属的门店可以理解为。

张凯(01:41:44): 然后优惠券这里还没还没打通，然后。

夜航星(01:41:50): 优惠券我测测两个没有问题！

张凯(01:41:57): 你测的没问题吗？是因为我没新建吗？这里选不到优惠券来。

夜航星(01:42:02): 你那边有优惠券吗？优惠券需要发放，你得发放给这个顾客，他才有优惠券可以选。

张凯(01:42:11): 优惠券发放那不是在哪发放，我看一下。

夜航星(01:42:14): 我测过一下。右上角支持单个发放和批量发放对！

张凯(01:42:21): 对发放。批量发放。

夜航星(01:42:28): 批量发放两种方式，手动输手手机号，还有选人多选。

张凯(01:42:35): 那你报一下你手机号诶报一下顾客159八零二四九四四。

夜航星(01:42:36): 幺五九五八零二四九四次。

张凯(01:42:45): 发放。

夜航星(01:42:46): 对就发给我了。

张凯(01:42:48): 发了我看开单这里诶，怎么开的没了？

夜航星(01:43:13): 你还记得刚才那个优惠券不它的适用范围他是有他是满减券还是什么？满500可用嘛对吗？

张凯(01:43:21): 满500可用。

夜航星(01:43:27): 这一张我没试过，不是很确定。这张得看一下。你可以加数量给他加上去。

张凯(01:43:47): 暂无可用。是没成会员吧，是。

夜航星(01:44:02): 我看一下优惠券的会员日当天全场把我的分。

张凯(01:44:08): 最高抵扣。有效期不对。我改一下有效期了。

张凯(01:44:26): 优惠券的有效期是根据发放的顾客的时间来的？

