夜航星(00:00:02): 储字塔。
贺东群(00:54:34): 我们不是有很多做错的单据吗？我们数据中心肯定会把那些错误的单据也给算上去的。那这种咋办？

夜航星(00:54:47): 报错的单据，就是你发的那几条吗？

贺东群(00:54:53): 不止你前面不是帮我们删了好大一波吗？然后也有很多错的他。

夜航星(00:55:02): 那删了他就删了，他不会出现在数据中心。

贺东群(00:55:08): 会护理单，他们备注了很多什么寄存错误的。

夜航星(00:55:13): 之前删的都是连着护理单一起删的。

贺东群(00:55:19): 知道吗？那后面又做错了！像像这里都好多！好像有好多万来着。

张凯(00:55:44): 啥玩意？

贺东群(00:55:44): 我想知道。

夜航星(00:55:46): 这个我们能不能先暂停一下我现在有点肚子不舒服，有点尴尬，不好意思，那这个可以，比如我15分钟之后再上会吗？

贺东群(00:55:51): 可以的，你们先去！

夜航星(00:56:00): 不好意思，我得要先停一下。去大学的环境，但没在上海帮忙，现在。今天的会议要不要结束，今天就这样吧？可以等等一会！

张凯(00:56:31): 没事等你们。

夜航星(01:04:22): 哈，我回来了。Hello. 

贺东群(01:04:34): 听得见。

夜航星(01:04:37): 刚才讲到哪了？

贺东群(01:04:45): 我也记不得讲到哪里了。白总先讲。

夜航星(01:04:50): 护理单备注了很多什么寄存单寄存错误之前删除了，现在护理单寄存。就讲数据中心那边数据不对？主要是哪些地方不对？贺经理。

贺东群(01:05:21): 等一下，我想不对的是等等我看一下。

贺东群(01:05:48): 了，你看我发群里都没有。这些店里面录错了很多寄存录错了，然后上不是服务，但是他们又做了服务单就好多？我们数据中心的数据要从这里来的话，那肯定这个消耗金额第一消耗金额是不对的，然后第二就是项目数也是不对的，然后客量这方面也是有问题的。因为这些都错了。

夜航星(01:06:19): 然后。都是因为寄存发卡的问题吗？

贺东群(01:06:26): 对，然后这个第二个就是我们的销售单要等你把就是转换的那个金融它填到那个现付那个字段，然后我们的收入的金额不会有什么问题，等你把这个调整好了之后，然后我再去把数据测一下，然后看我们的业绩方面有没有问题。业绩方面就这个问题，服务单的就是消耗问题，就这群里发的这一图。

夜航星(01:07:02): 服务单是这个问题的业绩方面是啥问题来着？

贺东群(01:07:07): 第一方面前面讲的。现付行。

夜航星(01:07:10): 好行那寄存单这个划卡的功能正常了吗？

贺东群(01:07:19): 功能是正常的，他们做错了，然后他做错的数据中心的数据他就会提取过去。

夜航星(01:07:26): 我知道。

贺东群(01:07:28): 这个我可以吃那个就是服务单划卡的时候可不可以再增加一个，因为我们看到上面有一个我看到有什么来着，看一下。558。我看到有一个备注有一个固定的寄存单退款专用可不可以再增加一个？非服务不算消耗，然后后面他们只要录错的就选了，然后我们的数据就把这两个排除在外，就不统计，你看怎么样？

夜航星(01:08:10): 微服不算消耗是啥场景？

贺东群(01:08:17): 场景他们做错的时候才有的场景就。

夜航星(01:08:21): 他是现在是可以取消的！

贺东群(01:08:25): 可以取消吗？他们你不懂他们这些人是这样子的就是我做的时候我就觉得我是对的，咔一顿的点，然后全点完了，最后发现错了，就这样子。

夜航星(01:08:25): 可以取消。

夜航星(01:08:38): 客户确认之前都可以取消的。

贺东群(01:08:43): 但是他们会确认吗？

夜航星(01:08:45): 你这都让客户确认了，你这咋改你那客户那边已经收到这个信息了？

贺东群(01:08:51): 对你说的这个问题就又想起前面我发的那一堆是他们已经备注知道是错的，然后划卡。

夜航星(01:09:01): 前面这些可以改没问题。

贺东群(01:09:02): 一些事他们。一些是他们已经确认掉了之后，然后才发现是错的，那备注也不能备注，然后我们还没有办法去看，没有办法去筛选这个到底是正确的。

夜航星(01:09:18): 你这服务单备注是创建服务单的时候去填的你你这服务单都走完了，你怎么这个备注已经定下来了？

贺东群(01:09:21): 错误的？对。记录是这样子的，我想要的是不要他们搞那些乱七八糟的备注，我想要固定的备注。

夜航星(01:09:42): 飞书不就是让他们填订单有啥问题吗？他没有问题，不用填！

贺东群(01:09:50): 对嘛。但是他们填的那些，你看到没填的那些备注就很乱七八糟的。

夜航星(01:09:56): 他们填那肯定是要表达点什么的，你们审核的时候可以用上。

贺东群(01:10:04): 不对。

夜航星(01:10:04): 你你限定好的话，那他。

贺东群(01:10:09): 服务单他们需要备注那些吧？因为现在转换单已经解决了，他是不是以前是因为有这个什么，有他做的不是这个项目可以给他备注，但是现在转换单已经解决了，他可以是做什么项目，他先去做销售单转换了再正常的开服务单，所以说他们不需要备注他备注的场景，现在就只有一个，要么是顾客退单掉了，要么是他们录错，然后划卡。

张凯(01:10:46): 不这个备注给他的目的是让他登记，他跟顾客沟通了什么，不是给你纠错的？

夜航星(01:10:54): 对是意思，我们有服务单取消这个功能。

贺东群(01:11:00): 但他现在他们备注的分析错了咋办，它会影响？

夜航星(01:11:06): 错，那就审计这个环节去解决？

贺东群(01:11:11): 解决不了嘞！

夜航星(01:11:13): 咋解决不了？

贺东群(01:11:15): 因为这个单已经完成，他的数据已经上去了。我们再统计进去的话，我们。

夜航星(01:11:22): 那跟备注没有关系，他客户确认订单之前他都可以取消服务单客户。

贺东群(01:11:32): 但是小娜。那能咋办，那我们数据中心的数据不？

夜航星(01:11:45): 数据中心的数据那不会出错，它两边会一致。值日一起错！

贺东群(01:11:51): 它会一致，但是？这是不算的。

夜航星(01:12:01): 女生。

贺东群(01:12:02): 是寄存单退款，备注我选了的话，它会不算到数据中心里面去吗？

张凯(01:12:16): 你相当于你，你说简单点，你就是相当于想把这个删掉？

夜航星(01:12:16): 不会。

贺东群(01:12:22): 想删掉他，我只是希望他。不要统计数据。

张凯(01:12:27): 也不删掉。

贺东群(01:12:31): 那删不掉嘛，删了就乱套了。你看，这些我只是随便筛选了一些，那这些消耗的数量就对应到我们的那个项目数，那项目数就都是错的，然后消耗金额也是错的。

张凯(01:12:50): 寄存单退款专用老系统寄存流程卡退款核销。继承错误。寄存错误。华卡纠正。

夜航星(01:13:07): 寄存错误这些不是说可以把你删掉吗？

贺东群(01:13:11): 这是后面又错的。

夜航星(01:13:14): 另外错是啥情况？

贺东群(01:13:17): 错，要么经常错，要么那么错，反正就是太多。

夜航星(01:13:23): 金额咋会错？

贺东群(01:13:24): 然后还有店店都录错了33万，但是3万多的消耗也是错的。

张凯(01:13:34): 他是**吧。

贺东群(01:13:36): 后面我想起来了，这个错，它是因为什么是因为以前我们系统不是座位了吗？他到这边来也错位，然后就错了一排。

张凯(01:13:50): 老天爷**。

夜航星(01:13:53): 不错，飞花卡弄错了。就我统一把备注改成专用的备注，这能解决吗？

贺东群(01:14:12): 可以改吗。

夜航星(01:14:16): 你你给我个清单，我给他都改掉嘛！

贺东群(01:14:21): 然后改掉了退款的不算消耗的？

夜航星(01:14:25): 按寄存卡录错了，按划卡走的那种方式。

贺东群(01:14:34): 三个。

夜航星(01:14:39): 你你声音被截断了。

贺东群(01:14:44): 我说是寄存单退款专用这一个？

夜航星(01:14:50): 对备注都改成。

贺东群(01:14:54): 数据中心就不会算数据吗？

夜航星(01:14:56): 不算？

贺东群(01:14:58): 我把那个名单发给你，你改一下，然后跑出来测试一下。

夜航星(01:15:04): 以外还有别的问题吗？

贺东群(01:15:08): 没有。

夜航星(01:15:09): 那就是改备注嘛，你你这说的。

贺东群(01:15:15): 但是你再听我讲，这个是他们有备注的情况，他没有备注的，也有错的，但是我不知道哪一些是错的，因为他没有备注，他已经完成了。

夜航星(01:15:26): 靠，那这我也不知道！

贺东群(01:15:29): 对都没有救，我只能救这些。还知道的，有备注的。

夜航星(01:16:13): 这只能改已经知道的，那不知道的改不了。

贺东群(01:16:19): 对先把这期的改掉吧！

夜航星(01:16:27): 还有别的啥问题吗？

贺东群(01:16:29): 没有了。

夜航星(01:16:31): 海总。

张凯(01:16:33): 我这边还有诶！

夜航星(01:16:35): 你说。

张凯(01:16:41): 一个是会员权益就是那个券等你帮帮我们调过来，因为在测试环境？调过来，然后进销存你那边啥时候能好？

夜航星(01:16:59): 啥时候。

张凯(01:17:01): 我们还要讨论一下不，我感觉。

夜航星(01:17:03): 讨论一下吧，我再接收一下你这边的信息。

张凯(01:17:10): 对因为我感觉好像流程没走通。等一下，我进一下测试环境。

夜航星(01:17:16): 我这边流程走通过一次。

张凯(01:17:21): 走通过一次。

夜航星(01:17:23): 我肯定不会测那么多次！你看我测试数据都在的。

张凯(01:17:29): 你看看就是我们按正常我们从下往上吧，从门店开始，比如说门店业务这里是他的报货嘛，那么各个门店报货完之后就到市场这个层级市场的财务会做一个汇总。

夜航星(01:17:45): 对。

张凯(01:17:46): 那么他这里会汇总一下，然后那么汇总单和创建采购单这两个是啥逻辑？

夜航星(01:17:56): 汇总汇总只是他汇总门店上报的。

张凯(01:18:03): 门店上报了，然后我上次晚上好。没有我带汇总的，我上次汇总了一下，然后创建采购单它好像有重复了。

夜航星(01:18:22): 创建采购订单。

张凯(01:18:24): 你看我**作给你看，我选33家店21号库存以。二你看我这里随便填。都是一家店的，然后再选另一家店？

夜航星(01:18:56): 你不用那么多，还没事。

张凯(01:19:02): 二还原霜。我创建了两家店的两年内了，然后市场做一个汇总嘛市场。市场汇总那种今天的？这里有一个实际采购数量？

夜航星(01:19:25): 拉过来！

张凯(01:19:30): 实际采购假如我创建完之后，然后下一步是创建采购订单，对不对，然后采购订单，这是刚刚填的供应商，这个不知道是什么逻辑，然后蹦出来了这个之后下面又有一个采购数量是啥意思？

夜航星(01:19:36): 对。

夜航星(01:19:50): 上面又有一个采购商。这是一个合合计？

张凯(01:19:56): 但是可以改。

夜航星(01:20:00): 对采购数量，那如果你可能想多多采购，那就加就是可以调整。

张凯(01:20:09): 我刚刚在市场汇总这里也有一个钱数量，这两个数量。

夜航星(01:20:19): 市场汇报只是报货，他不是下单？

张凯(01:20:26): 市场我找不到这个单据，我看一下单据，市场包括。这订单你看就是这里面，他也。刚刚填的这个20。这张单据填的时候他也可以填，也可以手动去改改包采购数量，然后这里面下面。下面又可以填采购数量，我就没搞明白这里。

夜航星(01:21:01): 两个合并成一个就可以了？

张凯(01:21:05): 这是两个合并成？

夜航星(01:21:09): 改的话，这两个部分之后它合并成一个？

张凯(01:21:16): 这是你原本的这两个单子的逻辑是咋样的？

夜航星(01:21:25): 前面是到货的，后面是真实的去下单。是向供应商那边去下单。

张凯(01:21:40): 但是正常他做完这个。他就不用下单了，这就代表他下单了。这里最好有一个什么什么，就是按照我们的逻辑，其实这个创建采购订单可以删掉。

夜航星(01:22:00): 对是。

张凯(01:22:02): 因为它和前面其实是一模一样的，但是这里最好有一个能否比如说单纯的。

夜航星(01:22:14): 赞成。

张凯(01:22:16): 比如说你看我们以往这个地方，它市场包括市场报告单。我打给你看一下哈。因为他可能存在，他这项事项，他暂停下来，他，比如说我这里选了一个是否报货完成，你能看到？他有时候赞成他选个否的话，他还可以修改，这样子的话供应链那边提取是提取不到的，只有他最终确认完了，不需要修改了，然后选了是确认他完成了，这个就单子就锁了。

夜航星(01:22:56): 我能解。

张凯(01:22:58): 这种情况下供应链就可以提取得了。

夜航星(01:23:02): 现机制是不是更方便一点，他现在报货像类似就暂存的意思。

张凯(01:23:07): 哪种机制。他不能进去修改，比如说我回到这里，那我这个单据市场报告单我修改不了。

夜航星(01:23:22): 这个是要修改哪个地方？

张凯(01:23:29): 比如说他因为店因为门店比较多嘛，打比方说那个门店，我现在提交两提交了两家门店，因为我们报货都是固定日期的。

夜航星(01:23:40): 对。

张凯(01:23:41): 他要等这些所有的门店全部做好他才做一个汇总嘛，但是做一个汇总完打比方说我到这个环节我汇总了所有门店了之后，我现在还不确定那个。

夜航星(01:23:47): 对。

张凯(01:23:56): 门店的报告数量就是我要么就不会总要么就关闭，就是相当于不保存，就是我们现在就只有两个选项，一个是你确定创建市场报货单，要么你就不创建，就是要么一要么零。

夜航星(01:24:11): 你是不是可以放心大胆的那个汇总吗？去创建报货单，然后你你下那个像供应链采购的时候，你你选那个报货单就可以了。

张凯(01:24:29): 选哪个选这个吗？

夜航星(01:24:31): 对这个时候就创建采购订单，这个是可以选报货单的？

张凯(01:24:38): 选完之后数量又可以改？

夜航星(01:24:42): 对。

张凯(01:24:43): 这个逻辑就不对了，数量又可以改的话。

夜航星(01:24:46): 选完数量是不改吗？不调整？

张凯(01:24:51): 这个动作不是重复做了吗？

夜航星(01:24:55): 前面那个就你们可能汇总的批次你们可能不一样！

张凯(01:25:09): 汇总的批次不一样。

夜航星(01:25:11): 对。

张凯(01:25:13): 然后他他也能汇总。他因为他。他不能汇总他。

夜航星(01:25:20): 这他下单是根据你就你可以选汇总的批次？

张凯(01:25:27): p4。那选择批次？这逻辑没重复吗？

夜航星(01:25:40): 没重复报货单，他没有，他还是留存在市场层级。

张凯(01:25:50): 比如说我把莫斯，我把我从八改成。我改成10个。然后我创建之后。牧师是？请选择市场报货单。供应链主体。我把莫斯选成10个。采购数量不能超过市场报货单中未下单数量。这啥意思。

夜航星(01:26:28): 不能超过8个你，你扫一下。

张凯(01:26:32): 那这个逻辑是啥意思？

夜航星(01:26:38): 你你这边可能比如说有库存。

张凯(01:26:45): 那我有过程中在这里不是已经改了吗？在汇总这里。你看哈。我们刚刚好像不能重复选哈。还不能重复汇总，就是这个单据里面他就已经填了，你要多少个？

夜航星(01:27:06): 明天到更好！

张凯(01:27:10): 你看我门店提交嘛，门店我换一家也很茂店。别啫喱嘛50个。

夜航星(01:27:21): 你你们市场层级也是有库存？

张凯(01:27:26): 防护对防护乳10个你看我再做一个市场这里来汇总的话，这里。这里汇总今天的？这是刚刚的，这不是可以填实际采购数量吗？

夜航星(01:27:46): 对。

张凯(01:27:51): 假如我填40个。我这里填5个好了。那我创建了之后。然后我在这里来。这里又有一个数量，我填它的意义是啥？

夜航星(01:28:10): 可以不填，增加一定的自由度。

张凯(01:28:20): 增加一定的自由度，但是如果我改的话，假如我们刚刚是从50改成40了，然后10改成五了，就是比如说我再改少一点，我那他改那个逻辑是啥意思？

夜航星(01:28:27): 你改少了是可以的。

张凯(01:28:40): 比如说这里我又改少了一。然后订单创建采购订单创建完了没变了，你看。

夜航星(01:28:59): 可能就是多了一个步骤就不用改。

张凯(01:29:06): 对就不需要填数量的了。这是我的理解，甚至采购订单都不需要了。

夜航星(01:29:14): 采购订单？

张凯(01:29:21): 你你觉得嘞？

夜航星(01:29:22): 对确实不需要对采购订单我们不需要。

张凯(01:29:27): 因为因为他填采购数量，他在汇总报货里面就已经填了，他不需要再去采购的时候再去想一下要不要改数量，如果他改了很多，那多了一个改动，反而还麻烦了。他汇总的，比如说汇总的，我从门店报告50我已经改成40了，然后我又从我又在采购订单里从40改成了30了，这个逻辑又多了一环。

张凯(01:30:04): 这是第一个，他报完之后，比如说到供应链在哪里汇总？

夜航星(01:30:14): 是第一个品电公司报货的需求。

张凯(01:30:19): 不是这里是这里是评价公司自己采购的！

夜航星(01:30:25): 看一下。

张凯(01:30:30): 你看它只能添加明细。它不能汇总市场的。

夜航星(01:30:49): 供应链采购订单。就第二个。

张凯(01:30:55): 供应链采购订单也不是供应链采购订单是针对他。

夜航星(01:31:02): 最近供应链采购订单？

张凯(01:31:02): 他是针对他对外的像工厂下单的数量。

张凯(01:31:22): 这个逻辑不同，其实到那个到。

夜航星(01:31:28): 对。

张凯(01:31:33): 到供应链这个端口的话，它相当于是他要采购哪些东西，它是有两个来源，一个他是要汇总这个市场向他报过来的嘛。

夜航星(01:31:44): 对。

张凯(01:31:45): 二个是他自己可能就是内部还就是怎么形容就是。你把它理解为，比如说供应链的办公室。需要的一些数量合并起来之后，相当于供应链需要对外采购的下单的数量。我之前。等一下，稍等一下哈！

张凯(01:32:24): 到供应链层级。我这个画面能看到不？就是供应链这个层级，它向工厂采购的一个采购订单，它有两个来源，一个是汇总了市场的报货，就是所有市场的报货单汇总之后，这是市场的一个需求，然后还有一个。他自己内部他自己也有需求，就是你把它理解为它里面的一个办公室也有需求，他俩合并起来就是供应链要对外采购的一个订单。

夜航星(01:33:08): 我理解，这也相当于少了一个市场上报了。

张凯(01:33:16): 就是市场上报的汇总了市场的那个需求，再加上他自己的需求，就是就加上这个表单合并最终生成这个，他要对外采购的一个订单。

夜航星(01:33:32): 那对没问题就是相当于供应链采购订单，这里需要把市场会市场上报也可以选。

张凯(01:33:35): 对现在缺少的。哪个。

夜航星(01:33:48): 供应链采购订单这里目前他只能选品项公司上报的吗？

张凯(01:33:51): 对。对。对的。对走向是这么走的，然后缺了一些字段，缺了我看一下。市场爆货汇总，市场分红，比如说我们看这个页面，我跟你讲一下这里是品相公司的经销层，它这里有一个市场报告单汇总。然后为什么会有这个单据，就是他以以报货周期为准，他汇总完之后他要去对他看他收每个市场要收多少钱嘛。比如说这里应收他收易大师他要收69000然后收收九江要收那个。5200就是汇总单是他拿来去，一个是为了让他知道他要去收多少钱，二个。知道每个市场报了多少货？然后他最终合并的采购订单，其实逻辑又和市场的一样，比如说他汇总了这个采购订单之后换一个多一点的。刚刚看的是哪一期？八月十五我们看八月十五期的。八月十五期。这里他又和市场汇总门店的逻辑是一样的吧，就是他虽然汇总完之后并不代表他就要向外面采购那么多，他这里又有一个，这里又有报货的数量，然后他实际要对外采购的数量，因为他库存有嘛。

夜航星(01:36:08): 可以睡觉。

张凯(01:36:12): 比如说这里九江它需要什么安吉丽金钻亮肤套一套什么凝金20盒，它这里的采购数量都是零，因为因为它库存有。然后他是比如说仪器小可爱艾灸仪库存是没有的，他就填一个采购数量就是用的，用这里面的说法就是逻辑又回到了市场汇总一样，就是有一个。汇总别人需求的，还有一个自己对外采购的实际数量，其实逻辑是一样的，只是成绩更高了。

张凯(01:36:54): 这么表达信息？

夜航星(01:36:57): 我可以理解。

张凯(01:36:58): 然后因为这里中断了，所以我后面入库的我都没有试。

夜航星(01:37:09): 那我再调试这个需求其实挺大的，就是他没有想那么快。

张凯(01:37:13): 你还有几个点。本来之前说是去做一下门店报货的嘛，你那你想挑战一下，也就让你挑战一下。就是后面入库这个入库和配货我就没测了，因为那个需求门店的报告没有汇总过来。然后其他的需求就是排版我感觉不太适应。

夜航星(01:37:59): 那你你想怎么弄？

张凯(01:38:03): 比如说你看我们点每一个都它都是排在下面。怎么形容嘞？上次发群里的就是产品添加的。你市场和供应链的添加产品的你要并在一块吗？

夜航星(01:38:36): 市场和供应链添加产品，并在一块。

张凯(01:38:42): 资料表。你。你并在一块儿你权限好分吗？

夜航星(01:38:50): 权限可以分市场的人那就只有市场吗？

张凯(01:38:57): 市场的，然后他创建出来的订单只能那2级分类嘞。

夜航星(01:39:03): 2级分类。他有三个鱼。

张凯(01:39:07): You. 比如说我现在是市场吧，我现在是市场，我创建了一个商品，比如说我创建了一个纸杯，因为因为我们市场可能就是大家统一购买纸，有那个办公室统一购买纸杯，然后发到门店吧，我现在创建一个纸杯。这个纸杯它按道理是我市场所有门店都能看到，那么如果我现在有一家转让店，它有一个产品是。是收购来的门店，我还得进这家店的产品，那么我这个产品就只限于这一家店去看，那这个权限怎么区分？

夜航星(01:39:52): 就市场和总供应链看不到？

张凯(01:39:57): 市场可以看得到，我还是拿给你举案例，比如说市场层级的这里有一个。市场自行购买的产品就是能看到我这里**！

夜航星(01:40:12): 这个你你这个例子我大概能理解，就是想问一下就是权权限要怎么控制？

张凯(01:40:23): 你看。就这是市场财务创建的那个就是产品信息，然后如果他这个字段里面他选的是市场就代表了这个市场所有门店都能看到。然后像南昌字段里面选的是门店，就代表只有这一家店能看到，就是如果你和供应链并在一起的话，它就相当于三个层级了。

夜航星(01:41:00): 不让供应链看到门店的东西吗？

张凯(01:41:05): 供应链顶头的供应链可以看到下面的门店就只能看到。

夜航星(01:41:09): 其他门店看不见？

张凯(01:41:12): 对。

夜航星(01:41:13): 他所在的市场和供应链都可以看得见？

张凯(01:41:19): 所在的是对。

夜航星(01:41:24): 这个没有问题权限。是可以控制的，可以控制。

张凯(01:41:27): 相当于站在门店的视角，它就划分为门店，第一个它可以提取到供应链的产品，第二个它可以提取到我们市场主管创建的。自行采购的，针对我们单店的产品。

夜航星(01:41:43): 可以的。

张凯(01:41:47): 可以看到这整个权限就是字段是市场的产品。

夜航星(01:41:54): 可以吗。

张凯(01:41:56): 就我感觉挺乱的。

夜航星(01:42:00): 忘了每个人进来的视角，他都是确定的，就是门店的进来，他能看到供应链市场，如果他本身自己有，那还能看到自己的。

张凯(01:42:16): 对，那你这里怎么你并在一张表里，你你这个字段怎么怎么分？

夜航星(01:42:17): 市场。就是一个商品，它归属的节点。

张凯(01:42:32): 归属的节点。

夜航星(01:42:33): 这个字段没改过来，这个字段可以处理一下，就是把3级结构拉过来。

张凯(01:42:43): 这里好像没有字。字段用来区分的。

夜航星(01:42:45): 对好像有，还有问题没改全。没感觉。

张凯(01:42:52): 你相当于就是这一个，这资料表用用一个字段来区分三层关系是吗？

夜航星(01:43:01): 对跟订单那边有点像。

张凯(01:43:04): 如果是供应链的产品，所有门店都能看到，是市场的产品，就那就只有市场的能看到。

夜航星(01:43:14): 对。

张凯(01:43:15): 如果是字段针对的是某一家店，就只有这一家店能看到。

夜航星(01:43:22): 对。

张凯(01:43:30): 价格，资料供应链采购价。供应链采购价，市场采购价。有一个区别。就是比如说自采的产品，他只自采的产品是市场主管就是怎么形容。这是。自采的产品它是给门店看的就是门店可以填，但是等到他汇总，等到他。汇总给供应链的时候市场报告单汇总的时候，它这里面是不包含这些耗材的。

夜航星(01:44:32): 可以。

张凯(01:44:33): 因为他不需要递交给平供应链，这个只是门店递交给他，需要他采购的一些耗材。

夜航星(01:44:45): 理解！

张凯(01:44:47): 你也能区分吗？

夜航星(01:44:51): 这个可以弄，就是你逻辑我大概都能理解，我需要花点时间去改。

张凯(01:44:58): 改对，然后。因为我原本想着给它分成两张表，各有各的逻辑，更好理解一点。你分一张表你你你搞这个权限你搞得很复杂。

夜航星(01:45:18): 他有个好处就是他统一一张表，然后只要查一张，然后如果你们后面比如说一个业务做的，换到了那个供应链市场换到供应链。

张凯(01:45:37): 市场放大了供应链。

夜航星(01:45:38): 就比比比如有个产品比较好，你们不是就市场这个产品换成供应链来做。

张凯(01:45:49): 如果分两张，我在供应链的那张表里添加一下不就好了吗？

夜航星(01:45:56): 这也可。

张凯(01:46:00): 有比如说有你这种案例，就比如说之前纸杯像这种举个案例，这种耗毛巾，这种耗材都是自己去采购，然后后面。供应链统一总部来定制这个毛巾，所有人都必须要递交到我这里来报货，有这种现象。

张凯(01:46:27): 这是一个配置表的，还有单据中心这里我看不懂这里分了那么多！

夜航星(01:46:34): 他把所有的单都汇总都放在这里了。它相当于一个汇总的地方？

张凯(01:46:47): 汇总的地方。

夜航星(01:46:50): 我看能不能就前面可以做一个把层级选了之后单据给它限定掉。

张凯(01:47:03): 层级选了之后把单据线，他能你是要把它并在一块儿。这里是相当于我明白你的逻辑，相当于这是流程，这是业务流程是资料存档。

夜航星(01:47:25): 这流程。换个地方给你们方便看。方便查。

张凯(01:47:35): 方便啥，但是。

张凯(01:47:49): Very. 但是我们的逻辑。这里单据记录？门店报货单据记录。这里好像是一样的吗？

夜航星(01:48:09): 这是一样的，这但是只有门店层级的？

张凯(01:48:16): 这里是只有门店层级的。我想一下怎么怎么怎么形容，这里是市场层级的。

夜航星(01:48:27): 要不担心中心那个不要也可以？

张凯(01:48:32): 餐具中心不要。

夜航星(01:48:36): 他确实重复了，重复展示。

张凯(01:48:37): 这里。单据记录单据中心。相当于这里的单据记录，把这里面的所有的单据汇总到一块了。

夜航星(01:48:53): 对。做个二选一是不是就可以了？

张凯(01:49:04): 二选一是啥意思？

夜航星(01:49:05): 两个只要一个单据记录单据中心只要一个就可以了。

张凯(01:49:13): 对是因为好像是有点重复了。我有一个疑问就是比如说我这里有个报货。包括他是一个旅游承包，说他这个单子做完就没了？

夜航星(01:49:39): 爆破。他是。

张凯(01:49:41): 您哪些动作是给他设定了流程的？

夜航星(01:49:45): 我们其实没有流程概念。

张凯(01:49:50): 调货有流程吗？

夜航星(01:49:52): 要不要不也没有流程？

张凯(01:49:57): 你门店调一个不得另一家店确认吗？

夜航星(01:50:01): 他有简单的审批？

张凯(01:50:06): 就另一家店审批嘛，他这里没有流程。没有流程的话。那还缺了货款的一个板块。

夜航星(01:50:15): 然后。财务没整进去。

张凯(01:50:28): 你看我们每一个环节都有。

夜航星(01:50:34): 我知道我财务没放进去还。

张凯(01:50:38): 好做不财务。

夜航星(01:50:42): 财务先定下来再做财务，不然这边改了财务不是还得改财务不太好做，要不财务你们手工弄吧。

张凯(01:50:48): 不太好做。怎么弄咋弄怎么弄？

夜航星(01:50:59): 都可以导出的资料可以导出。

张凯(01:51:05): 财务好弄这流程还复杂，因为因为价格是跟着产品走的嘛？都有数量了，就有价格了！财务反而还好弄这流程比较难弄，那你那这样，那你先去吃饭，对你先去吃饭吧，我看邵总催来了。

夜航星(01:51:27): 好，你们也吃吧！好，那先这样。

张凯(01:51:34): 好好拜拜。

夜航星(01:51:39): 还有个问题，谭总，我现在这个库存管理这个代码跟积分不是跟优惠券放在一起了，是要合的话可能他们得11块合。

张凯(01:51:54): 不合格积分？那你库存你要等好久？

夜航星(01:52:01): 库存，但它不会影响主流程库存。它不会影响别的模块。

张凯(01:52:07): 我明白你意思你就是先上传过去，库存也会跟着过去，库存是错的。

夜航星(01:52:14): 对。

张凯(01:52:17): 等库存弄好之后，你再要更新一遍了。

夜航星(01:52:22): 对。

张凯(01:52:22): 可以反正库存测我们还是在测试环境里面来测！

夜航星(01:52:26): 那行。对。

张凯(01:52:35): 好，那你先吃饭去吧。
