夜航星(00:08:30): Hello hello 张总听到，那你们这边是数据中心会后有什么文件吗？

张凯(00:08:34): 听得到，听得到。
张凯(01:04:05): 然后审美的招牌复购人数，业绩这个是计算有点复杂哈复杂吗？

夜航星(01:04:20): 不咋样。我们之前不是做复购率，他就做多了。

张凯(01:04:27): 反正整体就是这样子，当然因为我们只是画给你看，也不是说非得要一定要这样子去排，然后。

张凯(01:04:40): 你也想一下，我们也想一下就是怎么去把它更简单，让你工作也简单，然后让我们看起来也简单。如果有一些看我们怎么去划分，把哪些放到那个分析师，然后把哪些放到那个外部端，然后把哪些删减一下，又放到小程序端。

夜航星(01:05:04): 这样，张总就是我们到时候分析师可以嵌到管理后台里面来。

张凯(01:05:15): 你可以先进来，让他嵌进来更好，那就是我，其实我们因为外部端的话，你你比较好解决？

夜航星(01:05:26): 对。

张凯(01:05:27): 说那些小程序端，我们就看怎么精简一下。

夜航星(01:05:31): 对小程序，一般小程序它都没有明细的，像我们一些炒股软件它都没有什么明细的这种东西。

张凯(01:05:42): 你可以嵌入进来那我觉得就挺好的，就是反正打开一个后台也能够看到那个。

夜航星(01:05:50): 对。

张凯(01:05:52): 挺好的。我明白了。

夜航星(01:06:01): 给他嵌进来，然后管理后台是不是就不需要做一个数据的板块，就是不需要做进数据这个板块？

张凯(01:06:14): 如果能嵌进来。你说的是对的。因为只要保证小程序端大家常用的，他能看到就好。如果能嵌进来的话，就没有必要专门搞一个。

夜航星(01:06:27): 是的。

张凯(01:06:40): 他其实看出来看懂的话都它是同一个东西？

夜航星(01:06:44): 看到的都是同一个东西。

张凯(01:06:46): 因为他看的都是同一个东西！

夜航星(01:06:50): 可以的。

张凯(01:07:10): 那小程序端怎么展示有什么卡点吗？你可以把卡点说一下，我们就知道该怎么去删减一下。

夜航星(01:07:22): 卡点。我要不。可以参照像一些股票软件那种就是小程序基本上展不了展，展示不了明细。就一些关键指标展示一下。

张凯(01:07:47): 展示明细的话。Yes. 

夜航星(01:07:51): 就你们还得对指标过滤一下。

张凯(01:07:56): 简短的明细？

夜航星(01:07:57): 简短的明细？

张凯(01:08:00): 也是那种表格，然后说短一点。

夜航星(01:08:06): 短一点。

夜航星(01:08:09): 那种的。因为手机上确实展示不了几列。你你有些字段长一点，然后他很可能就排版会乱掉了。

张凯(01:08:28): 往下滑如我如果我们把每一个表格剪短一点？

夜航星(01:08:38): 每个表格剪短一点。

张凯(01:08:40): 再缩减一点嘛，然后多分多多拆分几个表格往下滑？

夜航星(01:08:50): 你主主要问题他是他放不了几列，他就放个三列。

邵冬(01:08:59): 我说一下就是张总你要体验的话就拿 work from 的移动端，你自己放一下你体验一下就知道，因为它 UI 已经做好了，你你放一下你就知道了，到底有多少可以放。

张凯(01:09:00): 放到三列。

邵冬(01:09:18): 就你自己也有直观感受的嘛，说的那个方式吧，你这样一放你你那边能放得下谢工这边肯定能优化放得下了。

张凯(01:09:33): 差不多也是最多只有四列吧。

邵冬(01:09:38): 对你你一般来说就是 work from 那个移动端基本上是两列你你四列是最多了，因为手机屏幕只有这么点大。

张凯(01:09:55): 表格太长了，邵总刚刚谢工讲的把分析师并到外部端的后台，我觉得挺好的。

张凯(01:10:07): 那我们就不用单独搞个数据中心就是分析师，他就是数据中心可以这么理解吧？

邵冬(01:10:15): 可以！但是你你。

张凯(01:10:24): 没声音了。

邵冬(01:10:25): 你我不知道，那你分析师合同签不签了，就不用签了你的意思？

张凯(01:10:36): 要钱，但是我这边其实还有其他的一些更复杂的指标，就是我原计划是放到分析师的我没有放到这一次来讲。

邵冬(01:10:38): 那所以说我说就集成到一起是没关系的。那 web web 是可以集成的一个页面过来就并且权限相当于我们本身在那个小程序权限都分好的，这样的话你不同权限人就可以查不同东西，那么我们权限也不用做设置了跟那个小程序的权限是一致的。

邵冬(01:11:11): 可以的，因为要不然的话你分析师得重新做一下用户的管理。

邵冬(01:11:19): 行，那按照谢工意思说做就好了。

张凯(01:11:24): 对因为因为有些工作没必要重复嘛，我觉得。

邵冬(01:11:28): 是的。

夜航星(01:11:31): 因为你你现今天看这个数据中心这些板块其实跟我们实时看板那边高度一致。放到分析师里面还可以更好看一点，因为他支持图表。

邵冬(01:11:54): 但是分析师你合同还没跟我签你你最好早点签掉！

张凯(01:12:00): 是那个我们，所以我没有拿到这次来讲，我因为我也没我，没想到那个谢工蹦出来的一个新思路！

邵冬(01:12:09): 对反正我还我们是赶紧把小程序弄完行，你们继续吧，我听着。

张凯(01:12:21): 关于这个细节的一些计算，谢工这边有很多需求？

夜航星(01:12:34): 那我所以我们小程序这部分外部端经营数据那个板块就不要了，然后只保留小程序员工端的一个。

夜航星(01:12:51): 一个简约简版的数据。

张凯(01:12:56): 对。

夜航星(01:12:57): 那就是等你们简版的数据筛选出来？

张凯(01:13:03): 好。不要的话！那这个怎么拆分，还是说并在一起讨论就是外部单的？

夜航星(01:13:20): 外部端的就到时候跟分析师那边一起讨论，因为分析师他基本数据也是要的！

张凯(01:13:28): 对。其实按道理功能会强大一些，关于数据处理。

夜航星(01:13:42): 它可以做缓存。

夜航星(01:13:47): 对你有一些那种数据就不用每次都算，然后如果你有一些你只是问问一个比较具体的数据，不是看整版的话，那可以去问答问，这样子也会快一点。然后分析师那边还可以导出？

张凯(01:14:14): 工作划分两份。一个是小程序端看要怎么？我展示。

张凯(01:14:38): 那接下来我们怎么推进？

夜航星(01:14:41): 推荐就是你你们这边给一个小程序的简版的指标，然后我这边接收到了我看哪些那个计算，我计算不来再问。

张凯(01:14:48): 好好好没问题。那这次就到这里会议？

夜航星(01:15:12): 好好对。

张凯(01:15:14): 看还有我们还有什么要沟通的，这段时间好像一直没有发版哈发了吗？

夜航星(01:15:21): 发了有。

张凯(01:15:25): 对于我试一下流程看一下有还有没有什么要修改的。是昨天发的吗？

夜航星(01:15:38): 昨天也有发，然后再往前一点也有发。

张凯(01:15:45): 我这里点进去只能看到23月29号发的那一版，前几天。4月16号，昨天发了一版。

张凯(01:16:14): 组合套餐，普通商品我们这一版他把开单里面标题分成了组合套餐普通商品。

夜航星(01:16:28): 对。

张凯(01:16:29): 普通商品里面又分普通商品里面它是怎么分的？

夜航星(01:16:41): 普通商品就按照品相分类来。

张凯(01:16:48): 你要问，因为原来是护理项目体验卡家居和充值卡嘛？

夜航星(01:16:54): 为什么对。

张凯(01:16:56): 现在它变成了普通商品。普通商那家居产品在哪，在普通商品里面？

夜航星(01:17:10): 对家居产品在这边在。

张凯(01:17:14): 你你把护理项目和家居产品并到普通商品里面了吗？

夜航星(01:17:18): 对的。

张凯(01:17:22): 然后左侧的标题栏就变成了这里面的明细的品相？

夜航星(01:17:36): 左侧标题栏对。

张凯(01:17:39): 拼多多的我电脑上这一列嘛！

夜航星(01:17:43): 金老师再见对的。

夜航星(01:17:59): 小程序排版还会再优化一下，他就管理后台那边流程更完善一点。小程序那边还有一小块没有对齐。

夜航星(01:18:17): 我这边修改都是先修改 web 后台的，因为这边 web 后台它整个更完整。

张凯(01:18:32): 那我们说外部端的商品管理里面的管商品管理里面还要增加一个。属性的标签，比如他是我。

夜航星(01:18:47): 换不到人上。

张凯(01:18:49): 那对不起了，如果把这里在外部端这里改成护理项目分成。四类。分成三类招牌王牌明星！那和手机端又对不上了？

夜航星(01:19:11): 到时候手机端可以把除了体验卡和充值卡的都拉到普通商品那里？

张凯(01:19:22): 都拉到普通商品那里？

夜航星(01:19:23): 过滤一下。

张凯(01:19:26): 好。

夜航星(01:19:33): 然后那个手机端太北业会再优化一下就变得不是太北业那种形式是先做一下选择，然后再进入具体的页面。

张凯(01:19:48): 那这个大概什么时候优化，因为这个商品下单还是挺重要的流程。

夜航星(01:19:55): 这几天可以挖哈，我因为最近就是在做这个事情，然后外部端那边流程比较完整，如果看那个流程，我们是不是理解的一致的话，可以去那边看体验一下就开单。

张凯(01:20:20): 你说订单流程吗？还是商品管理的流程，开单流程，看到了组合套餐普通商品。

夜航星(01:20:23): 开开单开单。

张凯(01:20:31): 比如说我选一个电话，有我是顾客吗？

夜航星(01:20:37): 你你不知道是不是顾客？

张凯(01:20:49): 选择商品。前面就先选了是哪一种单？

张凯(01:21:16): 组合套餐。

张凯(01:21:29): 加入套餐。加入。

夜航星(01:21:45): 历史的套餐我套餐只改了第一个数据。这个历史套餐可以是可以的。

张凯(01:21:49): 组合套单销售单内部单组合套餐按打包价销售，禁止手动改价对提交。营业额分配到这里。

夜航星(01:22:35): 转换单也好了。

张凯(01:22:40): 我今天都试一下。

夜航星(01:22:43): 然后我把回款和退款这两块都放到订单的。收款明细里面去了？

张凯(01:22:58): 订单的收款明细在哪里？

夜航星(01:23:00): 还没做上去，他逻辑之前不是并列的跟订单是并列的存在吗？按逻辑上理解，它其实是对一个订单的支支付的详情嘛，支付的明细！

张凯(01:23:18): 状态状态的变化。

张凯(01:23:46): 分配添加分配技能标签美容师。然后再技能标签。

夜航星(01:23:58): 这是门门选的那个门店，然后那个美美容师的数据还没完全弄上去。

夜航星(01:24:13): 九江那个店可能他有我之前分配过，你可以看一个你查看一个分配对。

张凯(01:24:21): I'm a pig. 选择。他是不是技能里面我可以选择多人？

夜航星(01:24:32): 他是增加多行，只能选择一个人。

张凯(01:24:37): 那这个选择人数是选择员工了，那如果我再选美，我再选另一个美容师，我就要再选一个一行？

夜航星(01:24:43): 对。对提成比例进行一个。

张凯(01:24:57): 养生师。

夜航星(01:24:58): 会有教育。因为养生师是从市场那里来的。所以眼神次数会多一点。

张凯(01:25:07): 这里比如说我选择他分配30%这个人分配70%。

夜航星(01:25:14): 底下你看养生是100% 100%？

张凯(01:25:18): 这里。我选择不同标签的美容师，看到了这里。然后这个提升点有一个配置表去修改？

夜航星(01:25:35): 有是什么提成矩阵那边，然后这边是不可以改的对，然后会自动计算分配额。

张凯(01:25:41): Me. 就是管理员才能改？这里也分20家？挺好的。我今天都给他试一下。

夜航星(01:26:02): 好。

张凯(01:26:04): 我忙。

张凯(01:26:15): 极限。诶小许。如果是。流程没问题。服务单管理。那我们这次会议就到这里？

夜航星(01:26:39): 好！
