张凯(00:00:01): 群里面吗。
夜航星(00:42:15): 会就我们正常的，比如订单这种退款流程，它会就是原路返回回去。

张凯(00:42:18): 啥原路返回？

夜航星(00:42:29): 就是他金额不如果是通通过微信支付，然后经过拉卡拉，然后再到你们门店这个会就是倒着回去。

张凯(00:42:37): 他钱退不回去，怎么会退回去。拉卡拉只能收钱，又不能付钱。我们所有的退款付款方式都是线下的，我都是我通过对公户直接打给顾客！

夜航星(00:42:59): 你这样的话就是我们不需要退款，你这样的话我可能可以在。

张凯(00:43:03): 我不需要说。对。

夜航星(00:43:10): 可能可以取一些巧。那我要不我下来想一想我一下子理不清。

张凯(00:43:12): 对。对我们所有的退款，我不需要说小程序发个指令给到拉卡拉，然后拉卡拉帮我去退钱，我所有的退款说我不要。

夜航星(00:43:25): 你不需要这个 OK？OK 那我想多了。

张凯(00:43:29): 对我们所有的退款在小程序操作的目的就是为了在数据库里面把它的次数和金额减掉，至于打款都是我们线下操作的。

夜航星(00:43:38): 你不需要这个 OK？OK 那我想多了。OK 好，那可以行，那我线下再想一想。

夜航星(00:43:53): 那接着。

张凯(00:43:56): 什么时候看到我？

夜航星(00:43:57): 就是第18条就跨门店去选养生师和推广员。

夜航星(00:44:12): 跨门店，它可选项它会很多！

张凯(00:44:22): 跨门店可选项很多。

夜航星(00:44:24): 跨门店，它可选项它会很多！

张凯(00:44:26): 我先解我先表达一下，我原来用我个饭怎么解决的，就是我给所有的员工档案增加了一个字段，就是比如说是否出差，他选是那么其他的市场的人就能选到他。

张凯(00:44:47): 他默认不选，或者说选否，那么其他市场的人就不能选到他，那么判断条件就是员工的所属门店。

夜航星(00:44:54): 哼，你跟共享顾客一样是共享员工，到了 OK。

张凯(00:45:01): 对因为因为我只能这么实现的，就是那你你所属门店要么等于我的门店嘛，要么你就是你。不等于的情况下，你是你的状态是，可是出差状态，那我就可以选到你。

夜航星(00:45:17): OK，那这个选定它的限制范围是同个市场吗？

张凯(00:45:23): 不等于的情况下，你是你的状态是，可是出差状态，那我就可以选到你限制范围？

夜航星(00:45:26): 全全全分域？

张凯(00:45:28): 陈凤玉然后这里我还增加了一个限制，就是我为了防止大家每次设置成共享之后不改回去。

夜航星(00:45:30): 全婚还更方便点。

张凯(00:45:42): 就会导致越写越多，到最后所有人都变成全部共享了我设置了一个自动任务，就是每天刷新全部变成否。

夜航星(00:45:52): 每天刷 OK。共享顾客他也要每天刷吗？

张凯(00:45:56): 但是这。对因为因为对，如果不刷的话，它会越积越多，就导致每个人都能搜搜索到很多顾客。

夜航星(00:46:01): OK 那这个我理解这个可以。我就放在同一个列表了！

夜航星(00:46:18): OK 就跟本门店的员工放在同一个列表了。

邵冬(00:46:19): 我快想出来的方案。

张凯(00:46:27): 可以反正列表里面有个括号，它是哪家店可以！

夜航星(00:46:30): OK 就跟本门店的员工放在同一个列表了，对，就是像现在一样，它右侧有那个门店。熙菱信息可以那行。

张凯(00:46:36): 可以区分的！

邵冬(00:46:40): 这个方案。

夜航星(00:46:47): 21条顾客共临时门店，也就是用共享顾客的方式去 OK 然后我下面再看。

张凯(00:46:53): 一样的。

夜航星(00:46:59): 那个会员权益，你你那边清楚了吗？

张凯(00:47:06): 会员权益它里面内容很多，还要讨论，可能我自己评估就我还没发给你们评估，可能我自己评估的都要增加预算的。

邵冬(00:47:14): 会员权益丢给大印来做了？

邵冬(00:47:23): 婚姻全丢给大英来做谢公你你不操心吧，这样轻松点上线，因为本来跟开总商量就是会员权益和库存都是放到上线以后做的。

夜航星(00:47:28): OK OK。

邵冬(00:47:38): 就待会儿就给他挪到那个以后的需求。

夜航星(00:47:39): 然后详情。我给他引产了哈！

邵冬(00:47:51): 别隐藏而已挪到？

夜航星(00:47:54): 他没有内容。没有实质性的内容。

张凯(00:47:58): 就是会员权益现有的状态就是谢工其实已经开发了上开发了很多了，大部分框架都开发完了，比如说计算，然后那个分分等级，这个都是 OK 的，说我还有一些细节化的需求以及新增加的需求。

张凯(00:48:18): 比如说会员的积分怎么用，怎么兑换的规则是啥，这我还要增加这些东西。

邵冬(00:48:25): 我要把谢工解放出来，做你那个分析师的活，然后让那个大印做这部分事情两两部分来把你这个赶紧关闭掉。

夜航星(00:48:42): 看一下还有啥表格，这里记录了一个问题，什么套餐金额次数，除不尽有截图吗？

张凯(00:48:43): 截图邵总你你记得这个事不？

邵冬(00:48:59): 我知道怎么做，就是第一单向上取整，然后后面。

夜航星(00:49:05): 不是现在有问题吗？有 bug 吗？

张凯(00:49:10): 不是没有 bug，不是有 bug，是压根就没有这个动作。

邵冬(00:49:17): 他比如说一个套餐1000块钱一共做3次，那每次的金额是多少？如果说直接除以3，那就33.333，然后你3个加起来就。

夜航星(00:49:17): 不是现在有问题吗？有 bug 吗？我知道，就他会有什么影响吗？

邵冬(00:49:35): 财务上的影响。

张凯(00:49:35): 有可以协调让别人做有影响你你最终你你到收款环节金额就不对！

夜航星(00:49:44): 收款环节。

张凯(00:49:46): 比如说套餐的价格是我自己填的，我只能填333块三毛三那最后到收款环节就变成了我要收999块九毛九。

夜航星(00:50:00): 套餐金额不会套餐金额是根据里面的项目累加的。

张凯(00:50:03): 我从早上告诉他。是我自己点的吧，把李。在家的还是我自己填？

夜航星(00:50:18): 不是你自己填是根据你套餐里面的明细累加的。

张凯(00:50:22): 早上去做皇帝，我知道，那我知道你表达的意思就是我设定套餐的时候，我要设定好每一个主线的价格？

夜航星(00:50:32): 对。

张凯(00:50:34): 就加上12块钱的运费，但是会有一个实际的问题是啥，比如说我设置了第一个是300。

夜航星(00:50:42): 对。

张凯(00:50:46): 334剩下的两个是333对吗？

夜航星(00:50:50): 不是你为什么要设置334种奇怪的数字，你不能设个整的吗？

张凯(00:50:56): 334不是整数吗？

夜航星(00:50:59): 你设300上是没问题。

张凯(00:51:02): 那另外两个是333，那加起来刚好是1000，那么如果最终顾客筛选。

夜航星(00:51:06): 对。

张凯(00:51:12): 三选三的情况下，因为我们有一个多选多。那我不选第一个，我就选第三个，我选三次。

夜航星(00:51:15): 对。这有个很奇怪的问题，你为什么三个不设置一样的？

张凯(00:51:23): 那我一样，我咋设置嘛，组不进来。

夜航星(00:51:31): 你每个商品自己设置自己的，它不涉及除法！

张凯(00:51:36): 那我一样，我咋设置嘛，组不进来比，那我三个，也就是说我三，比如说我三选三里面，我要让顾客不管怎么选，加起来都等于1000，是不是这个道理？

夜航星(00:51:42): 你每个商品自己设置自己的，它不涉及除法！

张凯(00:51:48): 那我分三个单价分别设置多少嘞？

夜航星(00:51:48): 对。你三选三，你每你这三，你意思就是你非要写1000，你非要逆着推，就是你你不能。

张凯(00:51:56): 是不是。

夜航星(00:52:05): 设置它总价是推出来的，不是你设的？

张凯(00:52:06): I. But. 总总价是推出来的吗？

夜航星(00:52:15): 你你比如说这几个产品，你都设置100块，那三选三，它这个套餐总价就300。

张凯(00:52:18): 但是我怕他总价定的是1000上山的娜个。

夜航星(00:52:28): 你套餐总价定不了1000？

张凯(00:52:30): 怎么会定不了1000？

夜航星(00:52:32): 你为什么非得定1000就是999和1000有区别吗？

张凯(00:52:39): 不是那我设定套餐的时候就我就要填这个金额！

夜航星(00:52:43): 你套餐多1块钱少1块钱有影响吗？

张凯(00:52:46): 跳舞团也差不多。

邵冬(00:52:48): 不一定是这样的，比如说他有时候这个套餐次数是七，按照你的说法，他必须选一个七的公倍数来填这个套餐金额。

夜航星(00:52:58): 你套餐多1块钱少1块钱有影响吗？他不用去选，就系统会自己给他加起来，套餐金额等于他系统自动算的。

张凯(00:52:58): 你手机会夜？

夜航星(00:53:06): 他不是先设定一个套餐金额再去反推各个子商品的金额，他是先设定好子商品的金额再去推套餐的金额。

邵冬(00:53:14): 那我理解了那张总你理解吗？

张凯(00:53:16): 我理解，那我们我那我订套餐的时候我就订的按总的订的。

邵冬(00:53:24): 游戏。他就是有些数字就是比如说1888他们可能说这种值可能就是有一些商业上的需求，你这个比如1478你这个纸就不好看，他们可能会有这样的想法。

张凯(00:53:45): 对。

夜航星(00:53:50): 你套餐它的金额得定一个漂亮数字。

张凯(00:53:55): 我在那？

邵冬(00:53:55): 这个商业上想法，想他们的万总和范总才不会跟你来讲这个东西，他就是要按照这个定的，他们就是做商业上面的东西，张总还跟你张开总还跟你讲个道理。

张凯(00:54:09): 比如说，三选三，那我肯定希望大家设置成999，或者说三能除得尽的，但是没用我。

夜航星(00:54:18): 你你这里面套餐举个极端例子，比如说18选七或者三选七？

张凯(00:54:23): 挺好的，你的衣服这边。

夜航星(00:54:36): 我们考虑一个比较复杂的例子，比如三选七。怎么弄。

张凯(00:54:38): 三选三选七那我7次加起来要等于总金额吧？因为因为你那样顺推会有一个问题，你知道不，我不同的选项会导致促销卡。不同的价格。

夜航星(00:54:53): 我知道顺推的问题，有些人有些金额取不到。

张凯(00:55:02): 一个是取不到二个是大家的选的不一样，最终算出来结果不一样。

夜航星(00:55:08): 顺推他。

张凯(00:55:09): 2块钱的比较大，5块钱的分差对所以就存在这个问题，我们要的目的就是我这个卡的价格定出来了，这里面几项随便你怎么选，你反正付这么多钱就可以了。

夜航星(00:55:12): 对顺推你想结果一样，那得每个价格都一样。对顺推你想结果一样，那得每个价格都一样。

张凯(00:55:29): 夜航星上我找你不能说我选这三个我付990，他选那三个他付1100那这个价格，那这个就不叫统一的促销方案了。

刘大印(00:55:42): 反正我就要定这个价，你就给我弄出来。

夜航星(00:55:44): 你要定价那就每个商品价格它需要反推回去。

张凯(00:55:46): 挺早的。

张凯(00:55:55): 我都会去设定子项的金额！

夜航星(00:56:02): OK 指向金额，然后指向有次数卡的话，它还得再除一个次数卡的次数才是一次的价格？

夜航星(00:56:17): 都会影响，如果反推的话，他除不尽会有啥影响？

张凯(00:56:17): 是付款大。

刘大印(00:56:22): 他财务上，他可能缺一点钱，他就对不上了。

张凯(00:56:23): 邵冬可以联系死。

夜航星(00:56:28): 财务上。

张凯(00:56:28): 顾客付款金额就不一样了！跟他没得啥，可以。

夜航星(00:56:31): 顾客付款金额是一样的，他都是根据你定的套餐总金额付的，财务上是能对上的，他唯一上的是服务单的那个。

张凯(00:56:37): 不是他是跟你我测试了我。

夜航星(00:56:42): 分配提成的时候他可能。

张凯(00:56:45): 我测试了，最终付款顾客付款不等于总价！夜航星是来吃的，快快个澡嘛，又辣又麻，我都吃不起，我都觉得辣的我还是吃小。

夜航星(00:56:52): 顾客付款不等于总价？顾客付款不等于总价？就假设顾客他只付一部分的钱。

张凯(00:57:10): 回到刚刚那个问题，比如说三选三，我最终反正要付1000块钱，如果我每个子项进程333块三毛三。我实际我测试过，作为顾客的角度，开单的时候我选三次。最终要我付款就是999块九毛九。

夜航星(00:57:32): 按照你的方案就先定总价，然后指向的价格就是除多少，这种情况会有什么问题吗？

张凯(00:57:45): 主主项的价格除多少就定多少。

刘大印(00:57:50): 那你怎么怎么显示出来给他看？

夜航星(00:57:53): 显示出来就保留两位小数显示。

张凯(00:58:04): 那最终付款的时候能不能与总金额一致嘛？

夜航星(00:58:09): 付款的时候我们也是逐条付款明细逐条付款的。

张凯(00:58:23): 不是明细直付款吧，你付的总金额？

夜航星(00:58:24): 是的吧，这个付款也是根据明细逐条付款的，就逐条填实付金额。

张凯(00:58:31): 对现在是这样子，现在加起来，所以加起来我这个定价是1000。但是最终顾客付款是999块9。

夜航星(00:58:45): 我们再考虑极端一点顾客他就付700。

夜航星(00:58:54): 这种情况这更复杂，这好好复杂就。

张凯(00:58:59): 没有顾客付700的方案你已经解决了。

夜航星(00:59:01): 我解决是基于我现在的方案，你新的方案我可能解决不了。

张凯(00:59:10): 没有顾客付700的方案你已经解决了。

刘大印(00:59:24): 如果在单价设置的时候就给它设置成不一样，显示的时候。

夜航星(00:59:31): 不是问题。

刘大印(00:59:34): 不是问题。

张凯(00:59:34): 单价设置的时候。

刘大印(00:59:37): 就有点差距。

张凯(00:59:39): 那选出来的选出来就拼不出来这1000块钱了！

夜航星(00:59:42): 不是这个问题。

刘大印(00:59:44): 能拼出来，他选出来的时候我就会让第一个的时候。

夜航星(00:59:45): 不能他是三选三，他可以选三个333.33。他也可以选三个333.34。

刘大印(00:59:49): 我在跟他显示的时候，那个价格我就跟他显示334其他都是跟他显示333这可以吗？

张凯(01:00:03): 不是就是你能解决我，反正我选完之后我不管怎么选，最终能顾客付款和总金额一致就可以了，至于你咋显示的，我没要求。

夜航星(01:00:04): 不能他是三选三，他可以选三个333.33。他也可以选三个333.34。

夜航星(01:00:16): 不能他是三选三，他可以选三个333.33，他也可以选三个333.34付款和总金额一致。

刘大印(01:00:18): 对我就第一个我跟他显示成330十三四后面两个我就跟他显示成333，如果他选了其他的，我又把第一个变成334。

张凯(01:00:29): 你看有人跳楼吗？哈哈。

刘大印(01:00:31): 它是6个项，我们也是这么来算。

张凯(01:00:37): 他你表达意思是他不管选哪一个？反正第一个要多1分钱。

刘大印(01:00:41): 对我就跟他第一个显示的时候，我就跟他多一点。这样加加在一起，金额也对可以不？

张凯(01:00:49): 那我回到一个问题上来，那我设定这个套餐的时候，我没办法设定，我就给他默认全部设定成333块3，可不可以？至于你后面怎么显示都可以？

刘大印(01:01:05): 你设定的时候是单价和总价都要设置的？

夜航星(01:01:13): 我怎么感觉还是我现在的方案比较好，我们只设总只设那个子项目的价格。子项目具体设多少，你们上传就是编辑商品的时候凑吗？

刘大印(01:01:26): 不行，他们商业上的价格肯定是。不行他肯定大家他上架的时候肯定最先考虑的是总价1888，然后来分这个下面的项。

夜航星(01:01:40): 子项目具体设多少，你们上传就是编辑商品的时候凑吗？不，我们这个系统它就不是按照总价去支付的。他是一条一条去写实付金额去支付的。

张凯(01:01:48): 还谁我是这么设置的，我是为了让他无论怎么选，只要三次都能达到1000我就是我是这么去平均设置的。

刘大印(01:01:50): 他上架的时候他都是这么设置的？

夜航星(01:01:57): 这讲起来有点复杂。

张凯(01:02:11): 他怎么就不这么好笑！怎么下。

夜航星(01:02:20): 你你张总，你这需求我们这系统兼容不了。

张凯(01:02:25): 这你说没有？

张凯(01:02:32): Sora 这么美味的东西吃那促销方案咋搞，但是下次吃。

夜航星(01:02:39): 促销方案。

张凯(01:02:43): 快点吃这套餐咋搞？你就能不能做对你想要强不强？

夜航星(01:02:49): 套餐总价会有几毛钱的误差。

张凯(01:02:54): 都是皮肤。

夜航星(01:02:57): 它可能就显示，比如说999点多少，然后1000点多少，可能这种情况。

张凯(01:02:58): 妈妈你来了，这衣服太多了，就是我在网吧的，只要他把衣服给你，等我拿到快递来接你！

夜航星(01:03:18): 我们这个价格是事先定好的。

张凯(01:03:18): 反正他？

夜航星(01:03:26): 顾客他在下单的时候，我们就里面几选几的商品价格已经在管理，后台定好了，所以就兼容不到兼容不了你这个需求。

张凯(01:03:32): 对。味道是好。Yes. 他说你那直选几？多选多。

夜航星(01:03:58): 需要你们使用的时候去用一些技巧的。比如说。

夜航星(01:04:06): 比如说你你几选五？

张凯(01:04:06): 有什么技巧吗？那个是业务的问题的了，我没法决定了，我不能说你不能设定三次，你1000块钱必须设定四次或者两次，这个东西我没法决定。

夜航星(01:04:20): 如果你是几选三的话，那你可能得接受999.99这种总价。

张凯(01:04:37): 设定。好喝杯奶茶。

张凯(01:05:03): 就是其实这种差额。我们在设定的时候就已经知道了？

夜航星(01:05:09): 对。

张凯(01:05:13): 那有没有办法在技术上实现说我把差额计算出来，比如说我们大家都知道就差那1分钱，那最后等你选完之后。把这1分钱加进去嘞！因为我不懂技术上怎么实现哈我。

夜航星(01:05:34): 你你这账会对不上，因为我们系统记录的都是原来金额，你你让用户付款付个整的。

张凯(01:05:39): 伊拉克还是不一样，你在哪上班就用这个方案不用了，但也是。

张凯(01:06:00): 太远。这个咋搞？

夜航星(01:06:05): 这个兼容不了，因为我们现在系统就是给套餐内的每个商品先定价的。

张凯(01:06:12): 我知道，我们现在就是每个子项我都先设定好价格！

夜航星(01:06:18): 客户他下单的时候这个价格已经定好了。

夜航星(01:06:37): 就是会在总价上有一些几分钱的差额。

张凯(01:06:39): 我最近也没来大家。前两天我才带着小。

夜航星(01:06:49): 如果我们用上了积分系统的话，如果积分可以抵扣的话，那这几分钱就是大家都不会很看得见。

张凯(01:07:03): 不是那积分抵扣又逻辑又不对了，积分以后是你应付多少钱，然后再使用积分。

夜航星(01:07:12): 对。没问，没有问题！

张凯(01:07:16): 我们这个是应付金额都差了零头！

夜航星(01:07:22): 没问，没有问题！那没问，没有问题！你们老板应该关心的就是应付金额。

张凯(01:07:35): 夜航星都把我？

夜航星(01:07:38): 就应付金额就是套餐的标价。

张凯(01:07:40): 对。

夜航星(01:07:44): 你不是只要标价，你想的不是标价是整数吗？

张凯(01:07:51): 那顾客的选择，顾客不同的选择他和总价对不上那不是会有影响吗？

夜航星(01:08:01): 顾客不同的选择和总价对不上。

夜航星(01:08:06): 你你只要每个商品它价格设置一样，它就能对上。

张凯(01:08:11): 不总价我也要填上去，然后每个子项的价格我也要填上去，现在就是这样子了，那我明明总。

夜航星(01:08:18): 你你只要每个商品它价格设置一样，它就能对上。就这两个你只能填一个。

张凯(01:08:21): 3万不好像我两个都可以填吧？你去看两个都可以填的。

夜航星(01:08:28): 那实际用的时候你你自己填的总价是没有用的。

张凯(01:08:35): 没有用的辛苦拉齐了！有口大气。

夜航星(01:08:40): 如果总价可以填，那可能是个 bug，不应该给你们填。

张凯(01:08:47): 不应该给我你不想让我干什么对那么厉害，需要多干点。

夜航星(01:08:51): 然后这个套餐我本身做的可能比比你要的会灵活一点，因为你之前是按肯德基给我讲的，肯德基，它本身套餐里面价格就不一样。

张凯(01:09:03): 哪有人不知道说的上不了10，我就应该回去了，你要想我多待两天好了，你明明就 P 了那么强，那目前如果没法解决的话，那碰到因为碰到整数还好了，碰到这种除不尽的话，我就只能让他差那么1分钱了。

夜航星(01:09:24): 对张总，你有没有想过这种情况？

夜航星(01:09:31): 你为为什么一个套餐，它的金额要给它固定死，不能让用户根据他所选的套餐内容去。

张凯(01:09:36): 你可以现在夜航星。

夜航星(01:09:43): 决定这个套餐价格就跟肯德基一样。

张凯(01:09:43): 那还多买点饮料，你问我为什么我也解答不了，每个行业场景不一样？

夜航星(01:09:53): 可能你们也有这种潜在需求没有被挖掘出来？

张凯(01:09:55): 有就比如说理发店它也是固定的，你买个套餐卡，它里面的次数你可以选洗头，你也可以选剪头？

夜航星(01:10:08): 对。

张凯(01:10:09): 这么一看跟你的没区别，纪要我说你时候就不要说的差不多，你上了又不算解决不了，那没办法了。

夜航星(01:10:23): 那这解决不了？

张凯(01:10:29): 是没有障碍了，他会不会也有心理障碍顾客提了那么多要求。身体不掉，放开手夜航星的要求一个月到三次少一次可就500了，不会差额太多。

夜航星(01:10:40): 确实解决不了。这个确实解决不了。他就几分钱，他都差不了一毛。

张凯(01:10:49): 直接上单是他一个来三次2~3次给你，他说他给他办的卡是一个月这边三四。那先这样解决不了，那也没办法，那你开什么玩笑卡上写了不退不换的想多了，我太多看重！

夜航星(01:11:05): 这个确实解决不了，他就几分钱，他都差不了一毛！那营业额分配这块你们方案定了吗？

张凯(01:11:15): That. 名额分配。会议还让他哪一个？

夜航星(01:11:21): 那营业额分配这块你们方案定了吗？对。上次会议说你们会去确定一下营业额分配的方案。

张凯(01:11:27): 不夜航星万一你说漏了知道确定了那个上次确定哪个东西？我现在想不起来了。

夜航星(01:11:40): 上次会议说你们会去确定一下营业额分配的方案。真是。

张凯(01:11:41): 还好大家没有王姐每次来都要吃。我们上次讨论的是哪个话题？

夜航星(01:11:54): 上次讨论的就是整个营业额分分配，你们都要重新梳理一下。

张凯(01:11:59): 我们上次讨论的是哪个话题，他说是天标，要是天标的话怎么办？做什么，应该送的，当时是因为啥问题来着？

夜航星(01:12:10): 但是我也想一下。一定要分配。

张凯(01:12:19): 就看我问一下我们。

夜航星(01:12:23): 我一下想不通。

张凯(01:12:25): 上次好像是因为退款的提交了退款，然后还可以分配业绩就衍生出来的一个。

夜航星(01:12:35): 我一下想不通。不叫退款，还可以分配业绩好像还不止。

张凯(01:12:41): 对了，我问一下退款单它可以他不能分配业绩！退款单好像流程走完就退款单可以分配业绩吗？好像不可以吧？

夜航星(01:13:00): 你你们那个退款单可以接受，就是用户退一个疗程卡，他要退，就把这个疗程卡的所有余下的次数都退完。

张凯(01:13:01): 他问他也没问题，我直接问他。他今天。

夜航星(01:13:13): 可以接受这种操作？

张凯(01:13:15): 那怎么做，某一张卡全部退完对我肯定不让他一次一次退**疯了。

夜航星(01:13:19): 就他要退这张卡就全部退完。行这样子我还不用去维护动态过程。Ok. 

张凯(01:13:25): 目前我目前是没有这个需求，我们也没有必要发神经到允许顾客说你还是5次妈给你退一次的钱。

夜航星(01:13:41): 那就是要退都退掉。

张凯(01:13:47): 说实话，转换是存在的，你转换你不是上次跟我说解决不了吗？

张凯(01:13:56): 因为也确实存在，比如说我剩了几次，我拿一次来体验一下其他的项目这个转换，但是你不是说你只能全部转掉吗？

夜航星(01:14:06): 对你如果要支持一次一次转的话，我可能我需要去维护它这个动态过程。

张凯(01:14:07): 夜航星没关系的。他从纪要我。你们放假不？明天开始放上次说的退款的是啥？

张凯(01:14:26): 退款这边放了一个我看一下。明天星期四吧，明天星期四，后天星期五。从昨天开始放？爸爸过两天就回来了。

张凯(01:15:06): 行过两天。系喂好你路上注意安全哈对。他们在想我吗？不用了。

张凯(01:15:39): 回款。回访和营业额分配。

夜航星(01:15:43): 你们营业额分配它需要分子项吗？

张凯(01:15:46): 我没点到点了，营业额分配是按子项，因为每个子项的提成不一样嘛，上次我不是提了一个 bug 吗？就是子项的提成没有了。

夜航星(01:15:50): So. 我这有点想唱。上次讨论的是营业额是不是每次回款都要分配还然后。

张凯(01:16:12): 慢慢就活下来。

夜航星(01:16:12): 可以他回王，是一个订单，他可不可以就部分？只支持首首次付款，不让他回款。

夜航星(01:16:36): 如果他部分支付，那也当做这个订单已经结束了。上次好像是讨论。

张凯(01:16:39): 明天你对。就上次内部沟通了。要有回款功能？

夜航星(01:16:51): 行。

张凯(01:17:01): 我现在的卡点是部分支付的，没法分配营业额提成。

夜航星(01:17:03): 行对后面部分支付的没法分配营业额提成。

张凯(01:17:09): 对。

夜航星(01:17:10): 是有这个问题。

张凯(01:17:16): 邵冬你去了？你快去豆包，我跟豆包放在怀里。有没有试过的样子，可以吗？

夜航星(01:17:26): 上次开会说了一个简化方案是啥来着，你们后面有接受吗？

张凯(01:17:36): 上次说的简化方案是每次付款之后。就当订单完成了。就不用回款了，以后再付就再开一个单。

夜航星(01:17:41): 对。

张凯(01:17:49): 有一个问题。如果里单里面它有好几个子项，它会导致每一个指向都复没复习。你就没有办法完结这个单。因为因为你考虑的是我付了三次，我就卡一下就变成三次，我不要还登记个10次嘛，但是那如果是我付了三次半。

张凯(01:18:20): 或者说我一次的钱都没付齐，比如说一次是200我只付了100，那你这个单完结了，那后面怎么补补这个100块钱进来？

夜航星(01:18:29): 上次说是给他归到充值卡嘛？

张凯(01:18:30): 那我就聊点啥好。邵冬晚。那他怎么调一下？上次说的是零头是归到充值卡。

夜航星(01:18:41): 上次说是给他归到充值卡嘛？现在林头是挂在那里，挂在订单上不对挂在订单的指向上。

张凯(01:18:52): 对 I. 没。

夜航星(01:19:01): 那你们还是想要之前我们一一直讨论的这种方案。

张凯(01:19:02): 反正这一个钻也要值2块钱3块钱。对就之前那个逻辑不变，夜航星就看你这边的卡点我们怎么解决？

夜航星(01:19:13): 行。

张凯(01:19:22): 有说吗表妹？

夜航星(01:19:23): 对，那你们就后后期回款，他需要重新去选美容师，还有推销员这些吗？会跟首付款是一样的吗？

张凯(01:19:28): 这么多的是还对。

夜航星(01:19:38): 一不一样一。

张凯(01:19:39): 是一样的，也要去分配业绩？

夜航星(01:19:43): 也要去分配业绩就是他需要重新去选不同的还是他的分配这些人还是一样的。

张凯(01:19:45): 8号。可能不一样，因为人员有变动了，可能是其他人来跟进的其他美容师跟进的这种谁收算谁的了？

夜航星(01:19:54): 不一样。

夜航星(01:20:06): 你们实质上就是新订单！

张凯(01:20:08): 这是。是新订单你可能收之前的订单钱回来？

夜航星(01:20:18): 你们实质上就是一个新订单，收之前订单钱回来，然后给员工分配提成还不一样。

张凯(01:20:19): 一直在路上，我们自行车的人一直在算上对看到没有，这对于顾客来，因为因为对于顾客来说，他是把前面的钱补齐了，那我可用次数增加了。

夜航星(01:20:27): 不一样的意思就是不同人在发力！

张凯(01:20:38): 对于员工来说，可能前前面跟进的人和后面跟进的人不一样。员工离职了，换一个美容师来负责，那怎么搞一样，不给他有其他人来跟进的。

夜航星(01:20:48): 不能搞一样吗？如果离职这个钱不给他嘛，你你们如果把美容师都换掉的话，那这个订单它本质上是个新订单。

张凯(01:21:03): 美容师是不是换掉知道吧，原来好的时候一定要控制顾客的他也不算是新订单？广告5点钟的时间，头天的中午那还正上，因为销售人员。

夜航星(01:21:20): 就美就算美容师换掉。这个题题。

张凯(01:21:27): 销售人员他是不固定的。他可能会换换一个人来服务顾客。

夜航星(01:21:37): 每次都要熏人员分配，你们这个分配会很麻烦，到时候填报就是每次回款。

张凯(01:21:38): 不得超过两个小时。

张凯(01:21:43): 对你跟上？我你说我也觉得。

夜航星(01:21:51): 一个订单有多次回款，每一次回款它有不同的指向，给不同的角色分分配不同的金额。

张凯(01:22:00): 对是的。咱一天躺在上面就好了。这上面。

夜航星(01:22:07): 那行就是反反这么复杂，那你们自己就填报吧！

张凯(01:22:16): 是他们填报是电脑来分吧？

夜航星(01:22:19): 那行就是反反这么复杂，那你们自己就填报吧！

张凯(01:22:23): 我们找个我感觉你不是。他把前面的底背我又加了一点。还是？

夜航星(01:22:36): OK 那店长分配之后还是要这个三天锁，就是锁定这个分配吗？

张凯(01:22:44): 对好。

夜航星(01:22:49): 这功能着实有点复杂。

夜航星(01:22:59): 是天堂的四层天堂。四层嵌套，然后退款的时候还是根据疗程卡去退款的，聊城卡可以换。

张凯(01:23:04): 来干杯，辛苦！欢迎你们来！Change. 别说我的锁。他怎么那王芳说的 And. 然后我做了心理学。

夜航星(01:23:17): 他会去冲抵提成，那你们这个冲抵提成他要怎么扣？因为提成不够扣的话就会出现负数。

张凯(01:23:36): 我你的员工这个月他没有他可能没有业绩提成。

夜航星(01:23:42): 对。

张凯(01:23:43): 但是他产生了退款负数就负数没关系，干杯快点快走。

张凯(01:23:55): 不出了40号才开始。

夜航星(01:23:59): 还有顾客那一边顾客那边，如果他原来是用储值卡支付的。

张凯(01:24:03): 也不是不行。Horrible. 都是线下退款？

夜航星(01:24:10): 都统一退线下退款了？OK 那静儿那边不影响。

张凯(01:24:17): 只需要在小程序上把他剩余的金额给划掉次数划掉，然后打款的话我们线下操作。

夜航星(01:24:21): 金额这边倒是简化掉了。

夜航星(01:24:33): 行，那你觉得这个流程有哪些步骤还可以简化吗？就是余额分配加退款？

张凯(01:24:39): 哪个流程？

夜航星(01:24:42): 这两个流程。

张凯(01:24:45): 比如哪个流程营业额分配的时候，其实我们刚开始的想法，没有把他们切割开就是开单的时候他们你选了一个指向，你就选分配，没有说你这个单完结之后，然后你再去那个分配业绩。

夜航星(01:24:51): 这两个流程。

