夜航星(00:04:15): 哈张总，那我就不上了。那怎么说，你你这边那个共享屏幕。
夜航星(00:56:45): 你们之前也是说每个市场是一一致的？

张凯(00:56:50): 市场是一致的，因为因为如果有些转让店的话，他有一些你看我。

夜航星(00:56:52): 对。之前说好每个市场是一致的，那我肯定按市场成绩来。

张凯(00:57:11): 你看我喂放哪里了。你看我像我们有一些自定义的一些项目就是细到了门店这一列，你可以看到哈，对，因为因为可能有些转让店，他的这个项目他没有办法立马变更过来，按我们统一的项目来，他可能一些以前遗留的项目。我又不可能把它上到大的商品类别里面去，所以就搞了一个什么自定义的项目针对门店的。

夜航星(00:58:05): 你们这种比较边缘的需求可以不做进去吗？对我也是这个意思，你你这如果面面俱到的话，那个正常的场景那就没那么好用了。

张凯(00:58:14): 你不坐进去？正常的产品。

夜航星(00:58:24): 正常的场景就平时就选一个市场。这种场景就可能没那么好用了。

张凯(00:58:44): 他那里不能够细化到门店？

夜航星(00:58:47): 是的。

张凯(00:58:57): 那如果有门有转让店，他这些项目怎么算？

夜航星(00:59:08): 全国范围内像你们这样做的公司多不多张总就是我觉得你们颗粒度管理颗粒度很细。

张凯(00:59:18): 很多很像这类的品牌还蛮多的。

夜航星(00:59:25): 他们怎么做到管理的 workfun 也没有，那怎么弄？

张凯(00:59:31): 我和范也没有。

夜航星(00:59:35): 对你光 excel 表格你做不到这么细的管理的。

张凯(00:59:47): 那他们那些加盟店怎么搞的，加盟店。

夜航星(00:59:50): 张总能不能这样，你创建一个商品，你你你比如说备注或者标题里面就显示仅井什么什么电就好了，你们实际操作中。

张凯(01:00:01): 那那不是别人也能看到吗？

夜航星(01:00:03): 实际操作上看是能看到，比如说它可以不像。

张凯(01:00:08): 你看我这里很多！

夜航星(01:00:14): 不向顾客展示！就可以让员工操作。那让别的店看到就看到！

张凯(01:00:17): 对他是不。

张凯(01:00:33): 那合作店加盟店就用不了？

夜航星(01:00:39): 他也不是完全用不了，你们这种情况多吗？他说你，他说。

张凯(01:00:52): 我嘞，你扩张的时候你不都会接很多门店，然后他们的项目肯定都没法统一，前期的时候。

夜航星(01:00:57): 动物园。

张凯(01:01:02): 他们会因为各个品牌，各个门店私人老板店都会有自己的项目嘛？

夜航星(01:01:09): 你是需要我帮你加一个层级吗？

张凯(01:01:15): 加一个层级。

夜航星(01:01:18): 那管理起来会麻烦一些。

张凯(01:01:27): 你的在这里加吗？比如说下面？

夜航星(01:01:29): 是的。

张凯(01:01:34): 然后只选某一家店是不？

夜航星(01:01:36): 对。

张凯(01:01:40): 可以加吗？

夜航星(01:01:42): 加可以加，但是就那加上去东西就这个选项多，就会选起来不方便。你今天可以吗？我选了这个，那你你相当于我如果是整个市场，我就整个市场的门店都得勾一遍，再勾一个市场就可以了，勾市场，那如果是这个市场下面的某个门店，我到这个市场不勾。

夜航星(01:02:13): 勾下面的某个门店对。

张凯(01:02:17): 那这样可以！

夜航星(01:02:19): 那行。

张凯(01:02:22): 对因为我们有我们很多转让店，什么合作店。对因为。

夜航星(01:02:27): 可以的，现在数据结构是支持的。可以，那就这么来。

张凯(01:02:34): 可以，那我就是要给你的经营数据的图画出来，然后一个权限。还有其他的不？

夜航星(01:02:49): 要不那会后我看一下那个纪要？

张凯(01:02:54): 好的。

夜航星(01:02:55): 那现在下次再约时间再聊拜拜！
